rxns	MEAN_M145_21	MEAN_M145_29	MEAN_M145_33	MEAN_M145_37	MEAN_M145_41	MEAN_M145_45	MEAN_M145_49	MEAN_M145_53	MEAN_M145_57	MEAN_M1152_33	MEAN_M1152_41	MEAN_M1152_45	MEAN_M1152_49	MEAN_M1152_53	MEAN_M1152_57	MEAN_M1152_61	MEAN_M1152_65	STDEV_M145_21	STDEV_M145_29	STDEV_M145_33	STDEV_M145_37	STDEV_M145_41	STDEV_M145_45	STDEV_M145_49	STDEV_M145_53	STDEV_M145_57	STDEV_M1152_33	STDEV_M1152_41	STDEV_M1152_45	STDEV_M1152_49	STDEV_M1152_53	STDEV_M1152_57	STDEV_M1152_61	STDEV_M1152_65
3HAD161	1.147788e-04	1.099537e-04	1.026284e-04	1.338344e-05	1.279648e-05	1.349247e-05	5.594307e-06	5.560985e-06	6.341723e-06	1.022329e-04	9.131304e-05	7.423554e-05	6.192775e-05	1.137850e-05	1.276808e-05	1.476058e-05	1.513783e-05	2.651516e-17	3.716578e-08	5.603341e-08	3.749166e-07	3.334992e-07	3.467399e-07	1.986831e-07	1.887587e-07	2.201106e-07	3.270940e-12	2.800749e-08	1.645970e-07	2.107710e-07	3.885530e-07	3.043741e-07	3.296461e-07	3.931105e-07
3HAD170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3HAD180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3HAD181	1.250486e-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.842273e-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3HAD40	4.816188e-05	1.810038e-05	4.631053e-05	2.149785e-04	1.580949e-04	3.245870e-04	2.168315e-04	1.231168e-04	2.486066e-04	4.384091e-09	1.944889e-05	8.740882e-05	1.663605e-04	2.835016e-04	7.353430e-05	1.131858e-04	2.266707e-04	4.720000e-04	1.826904e-04	3.386299e-04	1.805531e-03	1.382338e-03	2.249393e-03	1.876254e-03	1.067824e-03	2.119864e-03	2.992707e-08	1.594111e-04	7.939313e-04	1.138745e-03	2.251126e-03	7.963725e-04	1.056522e-03	2.009405e-03
3HAD50	2.437648e-05	2.335175e-05	2.179600e-05	2.842347e-06	2.717690e-06	2.865504e-06	1.188107e-06	1.181031e-06	1.346842e-06	2.171200e-05	1.939288e-05	1.576599e-05	1.315209e-05	2.416543e-06	2.711658e-06	3.134822e-06	3.214942e-06	2.549695e-18	7.893192e-09	1.190026e-08	7.962402e-08	7.082787e-08	7.363991e-08	4.219590e-08	4.008818e-08	4.674665e-08	6.946755e-13	5.948173e-09	3.495678e-08	4.476311e-08	8.252010e-08	6.464234e-08	7.000956e-08	8.348799e-08
3HAD60	6.014560e-04	5.761721e-04	5.377949e-04	7.014030e-05	6.705531e-05	7.070985e-05	2.932259e-05	2.914048e-05	3.323175e-05	5.357137e-04	4.784924e-04	3.890041e-04	3.245096e-04	5.962487e-05	6.690641e-05	7.734739e-05	7.932425e-05	7.876158e-10	1.947501e-07	3.166762e-07	1.968957e-06	1.747554e-06	1.826456e-06	1.050276e-06	9.895220e-07	1.153336e-06	1.714016e-11	1.467629e-07	8.625102e-07	1.104468e-06	2.036069e-06	1.594960e-06	1.727389e-06	2.059951e-06
3HAD70	2.437648e-05	2.335175e-05	2.179600e-05	2.842347e-06	2.717690e-06	2.865504e-06	1.188107e-06	1.181031e-06	1.346842e-06	2.171200e-05	1.939288e-05	1.576599e-05	1.315209e-05	2.416543e-06	2.711658e-06	3.134822e-06	3.214942e-06	2.525958e-18	7.893192e-09	1.190026e-08	7.962402e-08	7.082787e-08	7.363991e-08	4.219590e-08	4.008818e-08	4.674665e-08	6.946755e-13	5.948173e-09	3.495678e-08	4.476311e-08	8.252010e-08	6.464234e-08	7.000956e-08	8.348799e-08
3HAD80	6.014560e-04	5.761721e-04	5.377949e-04	7.014030e-05	6.705531e-05	7.070985e-05	2.932259e-05	2.914048e-05	3.323175e-05	5.357137e-04	4.784924e-04	3.890041e-04	3.245096e-04	5.962487e-05	6.690641e-05	7.734739e-05	7.932425e-05	7.876158e-10	1.947501e-07	3.166762e-07	1.968957e-06	1.747554e-06	1.826456e-06	1.050276e-06	9.895220e-07	1.153336e-06	1.714016e-11	1.467629e-07	8.625102e-07	1.104468e-06	2.036069e-06	1.594960e-06	1.727389e-06	2.059951e-06
3HAD90	2.437648e-05	2.335175e-05	2.179600e-05	2.842347e-06	2.717690e-06	2.865504e-06	1.188107e-06	1.181031e-06	1.346842e-06	2.171200e-05	1.939288e-05	1.576599e-05	1.315209e-05	2.416543e-06	2.711658e-06	3.134822e-06	3.214942e-06	2.525528e-18	7.893192e-09	1.190026e-08	7.962402e-08	7.082787e-08	7.363991e-08	4.219590e-08	4.008818e-08	4.674665e-08	6.946755e-13	5.948173e-09	3.495678e-08	4.476311e-08	8.252010e-08	6.464234e-08	7.000956e-08	8.348799e-08
3HADai110	8.106869e-04	7.766074e-04	7.248682e-04	9.452772e-05	9.038203e-05	9.529786e-05	3.951281e-05	3.927745e-05	4.479184e-05	7.220746e-04	6.449475e-04	5.243285e-04	4.373981e-04	8.036681e-05	9.018142e-05	1.042545e-04	1.069191e-04	4.373676e-17	2.625033e-07	3.957662e-07	2.648051e-06	2.355517e-06	2.449037e-06	1.403306e-06	1.333210e-06	1.554650e-06	2.310278e-11	1.978180e-07	1.162555e-06	1.488684e-06	2.744365e-06	2.149806e-06	2.328303e-06	2.776554e-06
3HADai130	8.106869e-04	7.766074e-04	7.248682e-04	9.452772e-05	9.038203e-05	9.529786e-05	3.951281e-05	3.927745e-05	4.479184e-05	7.220746e-04	6.449475e-04	5.243285e-04	4.373981e-04	8.036681e-05	9.018142e-05	1.042545e-04	1.069191e-04	4.371664e-17	2.625033e-07	3.957662e-07	2.648051e-06	2.355517e-06	2.449037e-06	1.403306e-06	1.333210e-06	1.554650e-06	2.310278e-11	1.978180e-07	1.162555e-06	1.488684e-06	2.744365e-06	2.149806e-06	2.328303e-06	2.776554e-06
3HADai150	8.106869e-04	7.766074e-04	7.248682e-04	9.452772e-05	9.038203e-05	9.529786e-05	3.951281e-05	3.927745e-05	4.479184e-05	7.220746e-04	6.449475e-04	5.243285e-04	4.373981e-04	8.036681e-05	9.018142e-05	1.042545e-04	1.069191e-04	4.368643e-17	2.625033e-07	3.957662e-07	2.648051e-06	2.355517e-06	2.449037e-06	1.403306e-06	1.333210e-06	1.554650e-06	2.310278e-11	1.978180e-07	1.162555e-06	1.488684e-06	2.744365e-06	2.149806e-06	2.328303e-06	2.776554e-06
3HADai170	3.882437e-04	3.719227e-04	3.471445e-04	4.526999e-05	4.328459e-05	4.563881e-05	1.892296e-05	1.881025e-05	2.145113e-05	3.458066e-04	3.088699e-04	2.511046e-04	2.094730e-04	3.848823e-05	4.318852e-05	4.992823e-05	5.120431e-05	4.336357e-17	1.257147e-07	1.895352e-07	1.268170e-06	1.128074e-06	1.172861e-06	6.720531e-07	6.384836e-07	7.445328e-07	1.106408e-11	9.473641e-08	5.567558e-07	7.129411e-07	1.314296e-06	1.029557e-06	1.115041e-06	1.329711e-06
3HADai70	8.106869e-04	7.766074e-04	7.248682e-04	9.452772e-05	9.038203e-05	9.529786e-05	3.951281e-05	3.927745e-05	4.479184e-05	7.220746e-04	6.449475e-04	5.243285e-04	4.373981e-04	8.036681e-05	9.018142e-05	1.042545e-04	1.069191e-04	4.379768e-17	2.625033e-07	3.957662e-07	2.648051e-06	2.355517e-06	2.449037e-06	1.403306e-06	1.333210e-06	1.554650e-06	2.310278e-11	1.978180e-07	1.162555e-06	1.488684e-06	2.744365e-06	2.149806e-06	2.328303e-06	2.776554e-06
