iKS1317_ID,Sco4_ID,comment
gtca1[c],gtca1_c,identical
gtca2[c],gtca2_c,identical
gtca3[c],gtca3_c,identical
glycogen[c],glycogen_c,identical
10fthf[c],10fthf_c,identical
spmd[c],spmd_c,identical
sprm[c],sprm_c,identical
ca2[c],ca2_c,identical
cl[c],cl_c,identical
mn2[c],mn2_c,identical
mg2[c],mg2_c,identical
ni2[c],ni2_c,identical
k[c],k_c,identical
zn2[c],zn2_c,identical
aconm[c],aconm_c,identical
germicidinA[c],germicidinA_c,identical
germicidinB[c],germicidinB_c,identical
germicidinC[c],germicidinC_c,identical
germicidinD[c],germicidinD_c,identical
red[c],RED_c,identical
15dap[e],15dap_e,identical
1Dgali[e],1Dgali_e,identical
23camp[e],23camp_e,identical
23ccmp[e],23ccmp_e,identical
23cgmp[e],23cgmp_e,identical
23cump[e],23cump_e,identical
26dap__M[e],26dap-M_e,identical
2ddglcn[e],2ddglcn_e,identical
3amp[e],3amp_e,identical
3cmp[e],3cmp_e,identical
3gmp[e],3gmp_e,identical
3ump[e],3ump_e,identical
4abut[e],4abut_e,identical
5dglcn[e],5dglcn_e,identical
5mtr[e],5mtr_e,identical
abt__D[e],abt-D_e,identical
ac[e],ac_e,identical
acald[e],acald_e,identical
acgam[e],acgam_e,identical
acser[e],acser_e,identical
ade[e],ade_e,identical
adn[e],adn_e,identical
agm[e],agm_e,identical
akg[e],akg_e,identical
alaala[e],alaala_e,identical
ala_B[e],ala-B_e,identical
ala__D[e],ala-D_e,identical
ala__L[e],ala-L_e,identical
alltn[e],alltn_e,identical
amp[e],amp_e,identical
arab__L[e],arab-L_e,identical
arg__L[e],arg-L_e,identical
asn__L[e],asn-L_e,identical
aso3[e],aso3_e,identical
asp__L[e],asp-L_e,identical
bhb[e],bhb_e,identical
btn[e],btn_e,identical
ca2[e],ca2_e,identical
cbi[e],cbi_e,identical
cbl1[e],cbl1_e,identical
cd2[e],cd2_e,identical
cda[e],CDA_e,identical
cellb[e],celb_e,identical
chol[e],chol_e,identical
chtbs[e],chtbs_e,identical
cit[e],cit_e,identical
cl[e],cl_e,identical
cmp[e],cmp_e,identical
co2[e],co2_e,identical
cobalt2[e],cobalt2_e,identical
coelichelin[e],coelichelin_e,identical
csn[e],csn_e,identical
cu[e],cu_e,identical
cu2[e],cu2_e,identical
cys__L[e],cys-L_e,identical
cytd[e],cytd_e,identical
dad_2[e],dad-2_e,identical
damp[e],damp_e,identical
dcmp[e],dcmp_e,identical
dcyt[e],dcyt_e,identical
dgmp[e],dgmp_e,identical
dgsn[e],dgsn_e,identical
dha[e],dha_e,identical
dimp[e],dimp_e,identical
din[e],din_e,identical
drib[e],drib_e,identical
dtmp[e],dtmp_e,identical
dump[e],dump_e,identical
duri[e],duri_e,identical
epm[e],epm_e,identical
etha[e],etha_e,identical
etoh[e],etoh_e,identical
fald[e],fald_e,identical
fe2[e],fe2_e,identical
fe3[e],fe3_e,identical
for[e],for_e,identical
fru[e],fru_e,identical
fum[e],fum_e,identical
g3pc[e],g3pc_e,identical
g3pe[e],g3pe_e,identical
g3pg[e],g3pg_e,identical
g3pi[e],g3pi_e,identical
g3ps[e],g3ps_e,identical
gact[e],gACT_e,identical
gal[e],gal_e,identical
galctn__D[e],galctn-D_e,identical
ggl[e],ggl_e,identical
glcn[e],glcn_e,identical
glcr[e],glcr_e,identical
gln__L[e],gln-L_e,identical
glu__L[e],glu-L_e,identical
gly[e],gly_e,identical
glyald[e],glyald_e,identical
glyb[e],glyb_e,identical
glyc[e],glyc_e,identical
glyc3p[e],glyc3p_e,identical
glyclt[e],glyclt_e,identical
glyc__R[e],glyc-R_e,identical
gmp[e],gmp_e,identical
gsn[e],gsn_e,identical
gua[e],gua_e,identical
h2o2[e],h2o2_e,identical
h2s[e],h2s_e,identical
his__L[e],his-L_e,identical
hom__L[e],hom-L_e,identical
idon__L[e],idon-L_e,identical
ile__L[e],ile-L_e,identical
imp[e],imp_e,identical
indole[e],indole_e,identical
inost[e],inost_e,identical
ins[e],ins_e,identical
k[e],k_e,identical
lac__D[e],lac-D_e,identical
lac__L[e],lac-L_e,identical
LalaDglu[e],LalaDglu_e,identical
lcts[e],lcts_e,identical
leu__L[e],leu-L_e,identical
lipoate[e],lipoate_e,identical
lys__L[e],lys-L_e,identical
lyx__L[e],lyx-L_e,identical
mal__L[e],mal-L_e,identical
man[e],man_e,identical
melib[e],melib_e,identical
melt[e],melt_e,identical
meoh[e],meoh_e,identical
met__L[e],met-L_e,identical
mg2[e],mg2_e,identical
mn2[e],mn2_e,identical
mnl[e],mnl_e,identical
mobd[e],mobd_e,identical
n2o[e],n2o_e,identical
na1[e],na1_e,identical
nac[e],nac_e,identical
nh4[e],nh4_e,identical
ni2[e],ni2_e,identical
nmn[e],nmn_e,identical
no[e],no_e,identical
no2[e],no2_e,identical
no3[e],no3_e,identical
o2[e],o2_e,identical
orn[e],orn_e,identical
orot[e],orot_e,identical
pacald[e],pacald_e,identical
phe__L[e],phe-L_e,identical
pi[e],pi_e,identical
pnto__R[e],pnto-R_e,identical
ppa[e],ppa_e,identical
pro__L[e],pro-L_e,identical
ptrc[e],ptrc_e,identical
pydam[e],pydam_e,identical
pydx[e],pydx_e,identical
pydxn[e],pydxn_e,identical
pyr[e],pyr_e,identical
raffin[e],raffin_e,identical
rib__D[e],rib-D_e,identical
rmn[e],rmn_e,identical
salcn[e],salcn_e,identical
sbt__D[e],sbt-D_e,identical
ser__L[e],ser-L_e,identical
skm[e],skm_e,identical
so4[e],so4_e,identical
spmd[e],spmd_e,identical
succ[e],succ_e,identical
tartr__D[e],tartr-D_e,identical
taur[e],taur_e,identical
thm[e],thm_e,identical
thr__L[e],thr-L_e,identical
thym[e],thym_e,identical
thymd[e],thymd_e,identical
tre[e],tre_e,identical
trp__L[e],trp-L_e,identical
tungs[e],tungs_e,identical
tyr__L[e],tyr-L_e,identical
ump[e],ump_e,identical
ura[e],ura_e,identical
urea[e],urea_e,identical
uri[e],uri_e,identical
val__L[e],val-L_e,identical
vanlt[e],vanlt_e,identical
xan[e],xan_e,identical
xmp[e],xmp_e,identical
xtsn[e],xtsn_e,identical
xyl__D[e],xyl-D_e,identical
xylt[e],xylt_e,identical
zn2[e],zn2_e,identical
5fthf[c],5fthf_c,identical
methf[c],methf_c,identical
emcoa__S[c],emcoa-S_c,identical
mmcoa__S[c],mmcoa-S_c,identical
ddcap[c],ddcap_c,identical
ttdcap[c],ttdcap_c,identical
ttdceap[c],ttdceap_c,identical
ptdcap[c],ptdcap_c,identical
hdcap[c],hdcap_c,identical
hdceap[c],hdceap_c,identical
hepdcap[c],hepdcap_c,identical
ocdcap[c],ocdcap_c,identical
ocdceap[c],ocdceap_c,identical
aiC15p[c],aiC15p_c,identical
aiC17p[c],aiC17p_c,identical
iC14p[c],iC14p_c,identical
iC15p[c],iC15p_c,identical
iC16p[c],iC16p_c,identical
iC17p[c],iC17p_c,identical
iC18p[c],iC18p_c,identical
1ddecg3p[c],1ddecg3p_c,identical
pa120[c],pa120_c,identical
1tdecg3p[c],1tdecg3p_c,identical
1tdec7eg3p[c],1tdec7eg3p_c,identical
pa141[c],pa141_c,identical
1ptdecg3p[c],1ptdecg3p_c,identical
1hdecg3p[c],1hdecg3p_c,identical
1hdec9eg3p[c],1hdec9eg3p_c,identical
1hepdecg3p[c],1hepdecg3p_c,identical
pa170[c],pa170_c,identical
1odecg3p[c],1odecg3p_c,identical
pa180[c],pa180_c,identical
1odec11eg3p[c],1odec11eg3p_c,identical
pa181[c],pa181_c,identical
1aiC15g3p[c],1aiC15g3p_c,identical
1aiC17g3p[c],1aiC17g3p_c,identical
1iC14g3p[c],1iC14g3p_c,identical
1iC15g3p[c],1iC15g3p_c,identical
1iC16g3p[c],1iC16g3p_c,identical
1iC17g3p[c],1iC17g3p_c,identical
1iC18g3p[c],1iC18g3p_c,identical
pai180[c],pai180_c,identical
ptdca[c],ptdca_c,identical
hepdca[c],hepdca_c,identical
aiC15[c],aiC15_c,identical
aiC17[c],aiC17_c,identical
iC14[c],iC14_c,identical
iC15[c],iC15_c,identical
iC16[c],iC16_c,identical
iC17[c],iC17_c,identical
iC18[c],iC18_c,identical
pg120[c],pg120_c,identical
clpn120[c],clpn120_c,identical
pg140[c],pg140_c,identical
pg141[c],pg141_c,identical
clpn141[c],clpn141_c,identical
pg150[c],pg150_c,identical
pg160[c],pg160_c,identical
pg161[c],pg161_c,identical
pg170[c],pg170_c,identical
clpn170[c],clpn170_c,identical
pg180[c],pg180_c,identical
clpn180[c],clpn180_c,identical
pg181[c],pg181_c,identical
clpn181[c],clpn181_c,identical
pgai150[c],pgai150_c,identical
pgai170[c],pgai170_c,identical
pgi140[c],pgi140_c,identical
pgi150[c],pgi150_c,identical
pgi160[c],pgi160_c,identical
pgi170[c],pgi170_c,identical
pgi180[c],pgi180_c,identical
clpni180[c],clpni180_c,identical
cdpdddecg[c],cdpdddecg_c,identical
cdpdtdecg[c],cdpdtdecg_c,identical
cdpdtdec7eg[c],cdpdtdec7eg_c,identical
cdpdptdecg[c],cdpdptdecg_c,identical
cdpdhdecg[c],cdpdhdecg_c,identical
cdpdhdec9eg[c],cdpdhdec9eg_c,identical
cdpdhepdecg[c],cdpdhepdecg_c,identical
cdpdodecg[c],cdpdodecg_c,identical
cdpdodec11eg[c],cdpdodec11eg_c,identical
cdpdaiC15g[c],cdpdaiC15g_c,identical
cdpdaiC17g[c],cdpdaiC17g_c,identical
cdpdiC14g[c],cdpdiC14g_c,identical
cdpdiC15g[c],cdpdiC15g_c,identical
cdpdiC16g[c],cdpdiC16g_c,identical
cdpdiC17g[c],cdpdiC17g_c,identical
cdpdiC18g[c],cdpdiC18g_c,identical
g3pc[c],g3pc_c,identical
chol[c],chol_c,identical
g3pe[c],g3pe_c,identical
g3ps[c],g3ps_c,identical
g3pg[c],g3pg_c,identical
g3pi[c],g3pi_c,identical
12dgr120[c],12dgr120_c,identical
12dgr140[c],12dgr140_c,identical
12dgr141[c],12dgr141_c,identical
12dgr150[c],12dgr150_c,identical
12dgr160[c],12dgr160_c,identical
12dgr161[c],12dgr161_c,identical
12dgr170[c],12dgr170_c,identical
12dgr180[c],12dgr180_c,identical
12dgr181[c],12dgr181_c,identical
12dgrai150[c],12dgrai150_c,identical
12dgrai170[c],12dgrai170_c,identical
12dgri140[c],12dgri140_c,identical
12dgri150[c],12dgri150_c,identical
12dgri160[c],12dgri160_c,identical
12dgri170[c],12dgri170_c,identical
12dgri180[c],12dgri180_c,identical
pgp120[c],pgp120_c,identical
pgp140[c],pgp140_c,identical
pgp141[c],pgp141_c,identical
pgp150[c],pgp150_c,identical
pgp160[c],pgp160_c,identical
pgp161[c],pgp161_c,identical
pgp170[c],pgp170_c,identical
pgp180[c],pgp180_c,identical
pgp181[c],pgp181_c,identical
pgpai150[c],pgpai150_c,identical
pgpai170[c],pgpai170_c,identical
pgpi140[c],pgpi140_c,identical
pgpi150[c],pgpi150_c,identical
pgpi160[c],pgpi160_c,identical
pgpi170[c],pgpi170_c,identical
pgpi180[c],pgpi180_c,identical
pi120[c],pi120_c,identical
pi141[c],pi141_c,identical
pi170[c],pi170_c,identical
pi180[c],pi180_c,identical
pi181[c],pi181_c,identical
pii180[c],pii180_c,identical
ps120[c],ps120_c,identical
pe120[c],pe120_c,identical
ps140[c],ps140_c,identical
ps141[c],ps141_c,identical
pe141[c],pe141_c,identical
ps150[c],ps150_c,identical
ps160[c],ps160_c,identical
ps161[c],ps161_c,identical
ps170[c],ps170_c,identical
pe170[c],pe170_c,identical
ps180[c],ps180_c,identical
pe180[c],pe180_c,identical
ps181[c],ps181_c,identical
pe181[c],pe181_c,identical
psai150[c],psai150_c,identical
psai170[c],psai170_c,identical
psi140[c],psi140_c,identical
psi150[c],psi150_c,identical
psi160[c],psi160_c,identical
psi170[c],psi170_c,identical
psi180[c],psi180_c,identical
pei180[c],pei180_c,identical
tag120[c],tag120_c,identical
tag141[c],tag141_c,identical
tag170[c],tag170_c,identical
tag180[c],tag180_c,identical
tag181[c],tag181_c,identical
tagi180[c],tagi180_c,identical
2aobut[c],2aobut_c,identical
2pg[c],2pg_c,identical
3pg[c],3pg_c,identical
3php[c],3php_c,identical
pser__L[c],pser-L_c,identical
13dpg[c],13dpg_c,identical
bglycogen[c],bglycogen_c,identical
adpglc[c],adpglc_c,identical
cdpglc[c],cdpglc_c,identical
prbatp[c],prbatp_c,identical
forglu[c],forglu_c,identical
frmd[c],frmd_c,identical
urcan[c],urcan_c,identical
histd[c],histd_c,identical
hisp[c],hisp_c,identical
imacp[c],imacp_c,identical
prlp[c],prlp_c,identical
aicar[c],aicar_c,identical
eig3p[c],eig3p_c,identical
4izp[c],4izp_c,identical
prbamp[c],prbamp_c,identical
prfp[c],prfp_c,identical
aso4[c],aso4_c,identical
aso3[c],aso3_c,identical
cd2[c],cd2_c,identical
fcoelchl[c],ferricoelichelin_c,identical
coelichelin[c],coelichelin_c,identical
cu[c],cu_c,identical
na1[c],na1_c,identical
no2[c],no2_c,identical
no3[c],no3_c,identical
5doglcn[c],5doglcn_c,identical
2ins[c],2ins_c,identical
thchd[c],thchd_c,identical
2mbcoa[c],2mbcoa_c,identical
3ohcoa[c],3ohcoa_c,identical
3oocoa[c],3oocoa_c,identical
3odcoa[c],3odcoa_c,identical
3oddcoa[c],3oddcoa_c,identical
3otdcoa[c],3otdcoa_c,identical
3ohdcoa[c],3ohdcoa_c,identical
3ohodcoa[c],3oodcoa_c,identical
b2coa[c],b2coa_c,identical
oc2coa[c],oc2coa_c,identical
dc2coa[c],dc2coa_c,identical
dd2coa[c],dd2coa_c,identical
td2coa[c],td2coa_c,identical
hdd2coa[c],hdd2coa_c,identical
od2coa[c],od2coa_c,identical
acACP[c],acACP_c,identical
3hhcoa[c],3hhcoa_c,identical
3hocoa[c],3hocoa_c,identical
3hdcoa[c],3hdcoa_c,identical
3hddcoa[c],3hddcoa_c,identical
3htdcoa[c],3htdcoa_c,identical
3hhdcoa[c],3hhdcoa_c,identical
3hodcoa[c],3hodcoa_c,identical
3hbcoa[c],3hbcoa_c,identical
ivcoa[c],ivcoa_c,identical
achms[c],achms_c,identical
hom__L[c],hom-L_c,identical
suchms[c],suchms_c,identical
metsox_S__L[c],metsox-S-L_c,identical
metsox_R__L[c],metsox-R-L_c,identical
mhpglu[c],mhpglu_c,identical
hpglu[c],hpglu_c,identical
5mdr1p[c],5mdr1p_c,identical
5mdru1p[c],5mdru1p_c,identical
murein5p5p[c],murein5p5p_c,identical
murein5px4p[c],murein5px4p_c,identical
murein5px3p[c],murein5px3p_c,identical
murein5p5p5p[c],murein5p5p5p_c,identical
murein5px4px4p[c],murein5px4px4p_c,identical
murein4px4px4p[c],murein4px4px4p_c,identical
murein5p4p[c],murein5p4p_c,identical
murein5p3p[c],murein5p3p_c,identical
murein4p3p[c],murein4p3p_c,identical
LalaDgluMdapDala[c],LalaDgluMdapDala_c,identical
LalaDgluMdap[c],LalaDgluMdap_c,identical
anhgm4p[c],anhgm4p_c,identical
anhgm3p[c],anhgm3p_c,identical
anhm4p[c],anhm4p_c,identical
anhm3p[c],anhm3p_c,identical
anhm[c],anhm_c,identical
LalaDglu[c],LalaDglu_c,identical
murein3px4p[c],murein3px4p_c,identical
murein4px4p4p[c],murein4px4p4p_c,identical
um4p[c],um4p_c,identical
alltn[c],alltn_c,identical
itp[c],itp_c,identical
idp[c],idp_c,identical
camp[c],camp_c,identical
adprib[c],adprib_c,identical
dcmp[c],dcmp_c,identical
dcdp[c],dcdp_c,identical
dad_2[c],dad-2_c,identical
din[c],din_c,identical
damp[c],damp_c,identical
dadp[c],dadp_c,identical
ditp[c],ditp_c,identical
dutp[c],dutp_c,identical
dcyt[c],dcyt_c,identical
duri[c],duri_c,identical
dgmp[c],dgmp_c,identical
dgdp[c],dgdp_c,identical
dtmp[c],dtmp_c,identical
dtdp[c],dtdp_c,identical
dump[c],dump_c,identical
xtp[c],xtp_c,identical
35cgmp[c],35cgmp_c,identical
gua[c],gua_c,identical
xan[c],xan_c,identical
imp[c],imp_c,identical
dudp[c],dudp_c,identical
dimp[c],dimp_c,identical
xmp[c],xmp_c,identical
dgsn[c],dgsn_c,identical
gsn[c],gsn_c,identical
xtsn[c],xtsn_c,identical
thymd[c],thymd_c,identical
thym[c],thym_c,identical
urate[c],urate_c,identical
ficytc[c],ficytc_c,identical
focytc[c],focytc_c,identical
o2s[c],o2s_c,identical
s17bp[c],s17bp_c,identical
g15lac[c],g15l_c,identical
6pgl[c],6pgl_c,identical
s7p[c],s7p_c,identical
actp[c],actp_c,identical
mmcoa__R[c],mmcoa-R_c,identical
mmtsa[c],mmtsa_c,identical
dcamp[c],dcamp_c,identical
25aics[c],25aics_c,identical
fprica[c],fprica_c,identical
5aizc[c],5aizc_c,identical
cbasp[c],cbasp_c,identical
dhor__S[c],dhor-S_c,identical
orot[c],orot_c,identical
gar[c],gar_c,identical
fgam[c],fgam_c,identical
pram[c],pram_c,identical
orot5p[c],orot5p_c,identical
fpram[c],fpram_c,identical
etoh[c],etoh_c,identical
cdpglyc[c],cdpglyc_c,identical
2oxoadp[c],2oxoadp_c,identical
glutcoa[c],glutcoa_c,identical
aact[c],aact_c,identical
5aptn[c],5aptn_c,identical
oxptn[c],oxptn_c,identical
4pasp[c],4pasp_c,identical
pprdn[c],pprdn_c,identical
26dap_LL[c],26dap-LL_c,identical
23dhdp[c],23dhdp_c,identical
thdp[c],thdp_c,identical
glutar[c],glutar_c,identical
phom[c],phom_c,identical
sl26da[c],sl26da_c,identical
sl2a6o[c],sl2a6o_c,identical
athr__L[c],athr-L_c,identical
14glucan[c],14glucan_c,identical
glyb[c],glyb_c,identical
indole[c],indole_c,identical
skm[c],skm_c,identical
trnaala[c],trnaala_c,identical
alatrna[c],alatrna_c,identical
trnaarg[c],trnaarg_c,identical
argtrna[c],argtrna_c,identical
trnaasn[c],trnaasn_c,identical
asntrna[c],asntrna_c,identical
trnaasp[c],trnaasp_c,identical
asptrna[c],asptrna_c,identical
trnacys[c],trnacys_c,identical
cystrna[c],cystrna_c,identical
mettrna[c],mettrna_c,identical
fmettrna[c],fmettrna_c,identical
trnagln[c],trnagln_c,identical
glntrna[c],glntrna_c,identical
trnagly[c],trnagly_c,identical
glytrna[c],glytrna_c,identical
trnahis[c],trnahis_c,identical
histrna[c],histrna_c,identical
trnaile[c],trnaile_c,identical
iletrna[c],iletrna_c,identical
trnaleu[c],trnaleu_c,identical
leutrna[c],leutrna_c,identical
trnalys[c],trnalys_c,identical
lystrna[c],lystrna_c,identical
trnamet[c],trnamet_c,identical
trnaphe[c],trnaphe_c,identical
phetrna[c],phetrna_c,identical
trnapro[c],trnapro_c,identical
protrna[c],protrna_c,identical
trnaser[c],trnaser_c,identical
sertrna[c],sertrna_c,identical
trnathr[c],trnathr_c,identical
thrtrna[c],thrtrna_c,identical
trnatrp[c],trnatrp_c,identical
trptrna[c],trptrna_c,identical
trnatyr[c],trnatyr_c,identical
tyrtrna[c],tyrtrna_c,identical
trnaval[c],trnaval_c,identical
valtrna[c],valtrna_c,identical
hgentis[c],hgentis_c,identical
anth[c],anth_c,identical
pran[c],pran_c,identical
pphn[c],pphn_c,identical
3psme[c],3psme_c,identical
2dda7p[c],2dda7p_c,identical
3dhq[c],3dhq_c,identical
3dhsk[c],3dhsk_c,identical
nformanth[c],nformanth_c,identical
Lfmkynr[c],Lfmkynr_c,identical
Lkynr[c],Lkynr_c,identical
4fumacac[c],4fumacac_c,identical
4mlacac[c],4mlacac_c,identical
hLkynr[c],hLkynr_c,identical
3hanthrn[c],3hanthrn_c,identical
2cpr5p[c],2cpr5p_c,identical
3ig3p[c],3ig3p_c,identical
peamn[c],peamn_c,identical
phpyr[c],phpyr_c,identical
skm5p[c],skm5p_c,identical
acon_T[c],acon-T_c,identical
betald[c],betald_c,identical
emcoa__R[c],emcoa-R_c,identical
mscoa__S[c],mscoa-S_c,identical
gthox[c],gthox_c,identical
malACPredQ[c],malACPredQ_c,identical
hexACPredQ[c],hexACPredQ_c,identical
3ooctACPredQ[c],3ooctACPredQ_c,identical
3hoctACPredQ[c],3hoctACPredQ_c,identical
toct2eACPredQ[c],toct2eACPredQ_c,identical
ocACPredQ[c],ocACPredQ_c,identical
3odecACPredQ[c],3odecACPredQ_c,identical
3hdecACPredQ[c],3hdecACPredQ_c,identical
tdec2eACPredQ[c],tdec2eACPredQ_c,identical
dcaACPredQ[c],dcaACPredQ_c,identical
3oddecACPredQ[c],3oddecACPredQ_c,identical
3hddecACPredQ[c],3hddecACPredQ_c,identical
actACPredQ[c],actACPredQ_c,identical
tddec2eACPredQ[c],tddec2eACPredQ_c,identical
ddcaACPredQ[c],ddcaACPredQ_c,identical
ddcaACPredL[c],ddcaACPredL_c,identical
3omrsACPredL[c],3omrsACPredL_c,identical
upn[c],upn_c,identical
up[c],up_c,identical
proamp[c],proamp_c,identical
proPCPredO[c],proPCPredO_c,identical
3haACPredQ[c],3haACPredQ_c,identical
pyrPCPredO[c],pyrPCPredO_c,identical
KSredX[c],KSredX_c,identical
pyrKSredX[c],pyrKSredX_c,identical
malACPredN[c],malACPredN_c,identical
kppACPredN[c],kppACPredN_c,identical
hbm[c],hbm_c,identical
mbm[c],mbm_c,identical
mbc[c],mbc_c,identical
but2eACPredQ[c],but2eACPredQ_c,identical
butACPredQ[c],butACPredQ_c,identical
3ohexACPredQ[c],3ohexACPredQ_c,identical
3hhexACPredQ[c],3hhexACPredQ_c,identical
thex2eACPredQ[c],thex2eACPredQ_c,identical
3hibutcoa[c],3hibutcoa_c,identical
3hmp[c],3hmp_c,identical
2maacoa[c],2maacoa_c,identical
2ahbut[c],2ahbut_c,identical
alac__S[c],alac-S_c,identical
3mb2coa[c],3mb2coa_c,identical
2mp2coa[c],2mp2coa_c,identical
2mb2coa[c],2mb2coa_c,identical
23dhmb[c],23dhmb_c,identical
23dhmp[c],23dhmp_c,identical
3mop[c],3mop_c,identical
3hmbcoa[c],3hmbcoa_c,identical
hmgcoa[c],hmgcoa_c,identical
3c2hmp[c],3c2hmp_c,identical
3c4mop[c],3c4mop_c,identical
2ippm[c],2ippm_c,identical
3c3hmp[c],3c3hmp_c,identical
4mop[c],4mop_c,identical
3mgcoa[c],3mgcoa_c,identical
fut[c],futal_c,different name
dhxfut[c],dhfutal_c,different name
cdhxfut[c],cdhfutal_c,different name
pendp[c],ppdp_c,different name
feroxB[e],desferrioxamB_e,different name
feroxE[e],desferrioxamE_e,different name
fcoelchl[e],ferricoelichelin_e,different name
feroxBfe[e],ferrioxamB_e,different name
feroxEfe[e],ferrioxamE_e,different name
feroxBfe[c],ferrioxamB_c,different name
feroxB[c],desferrioxamB_c,different name
feroxEfe[c],ferrioxamE_c,different name
feroxE[c],desferrioxamE_c,different name
d5kg[c],5ddglcn_c,different name
d5kgp[c],5ddg6p_c,different name
,hdhkACPact_c,Sco4 specific
,hdhk_c,Sco4 specific
,copre5_c,Sco4 specific
,12-DIACYL-3-O-ALPHA-D-GLUCOPYRANOSYL_c,Sco4 specific
,2-3-DIHYDROXYBENZOATE_c,Sco4 specific
,2-3-DIHYDROXYPHENYL-PROPIONATE_c,Sco4 specific
,2-AMINO-3-3-OXOPROP-2-ENYL-BUT-2-ENEDI_c,Sco4 specific
,2-AMINO-5-OXOCYCLOHEX-1-ENECARBOXYL-COA_c,Sco4 specific
,2-AMINO-MUCONATE_c,Sco4 specific
,2-AMINOACRYLATE_c,Sco4 specific
,2-AMINOBENZOYL-COA_c,Sco4 specific
,2-AMINOMUCONATE_SEMIALDEHYDE_c,Sco4 specific
,2-DH-3-DO-D-ARABINONATE_c,Sco4 specific
,2-KETO-GLUTARAMATE_c,Sco4 specific
,2-OCTAPRENYLPHENOL_c,Sco4 specific
,24-DICHLOROPHENOL_c,Sco4 specific
,25-DDOL_c,Sco4 specific
,25-DICHLOROHYDROQUINONE_c,Sco4 specific
,3-HYDROXY-PROPIONYL-COA_c,Sco4 specific
,3-HYDROXYPHENYL-PROPIONATE_c,Sco4 specific
mercppyr[c],3-MERCAPTO-PYRUVATE_c,Same metabolite
,3-METHYLBENZYL-ALCOHOL_c,Sco4 specific
,3-OCTAPRENYL-4-HYDROXYBENZOATE_c,Sco4 specific
,3-PHENYLPROPIONATE_c,Sco4 specific
,3-SULFOCATECHOL_c,Sco4 specific
,3-UREIDO-ISOBUTYRATE_c,Sco4 specific
,3-UREIDO-PROPIONATE_c,Sco4 specific
,35-DICHLOROCATECHOL_c,Sco4 specific
,4-CARBOXYBENZALDEHYDE_c,Sco4 specific
,4-CARBOXYBENZYL-ALCOHOL_c,Sco4 specific
,4-GUANIDO-BUTYRAMIDE_c,Sco4 specific
4h2opntn[c],4-HYDROXY-2-KETOVALERATE_c,Same metabolite
,4-HYDROXY-BUTYRATE_c,Sco4 specific
,4-HYDROXY-BUTYRYL-COA_c,Sco4 specific
,4-HYDROXYBENZALDEHYDE_c,Sco4 specific
,4-HYDROXYPHENYLACETATE_c,Sco4 specific
,4-METHYLBENZYL-ALCOHOL_c,Sco4 specific
,4-OH-4-ACETYL-2-OXOGLUTARATE_c,Sco4 specific
,4-SULFOBENZALDEHYDE_c,Sco4 specific
,4-SULFOBENZYL-ALCOHOL_c,Sco4 specific
,4-TOLUENECARBOXYLATE_c,Sco4 specific
,4-hydroxybenzoate_c,Sco4 specific
,5-AMINO-2-OXOPENTANOATE_c,Sco4 specific
,5-BETA-L-THREO-PENTAPYRANOSYL-4-ULOSE-_c,Sco4 specific
5hiu[c],5-HYDROXYISOURATE_c,Same metabolite
,5-METHYLTHIOINOSINE_c,Sco4 specific
,ACETOIN_c,Sco4 specific
,ACETOL_c,Sco4 specific
acetone[c],ACETONE_c,Same metabolite
,ACETYL-D-GLUCOSAMINYLDIPHOSPHO-UNDECAPRE_c,Sco4 specific
,ACRYLAMIDE_c,Sco4 specific
,ACRYLATE_c,Sco4 specific
prpncoa[c],ACRYLYL-COA_c,Same metabolite
,ACYL-ACP_c,Sco4 specific
1aiC15g3p[c],ACYL-SN-GLYCEROL-3P_c,Duplicate
,ADENOSYL-P4_c,Sco4 specific
,ADP-D-GLYCERO-D-MANNO-HEPTOSE_c,Sco4 specific
nh4[c],AMMONIA_c, Identic
,ASCORBATE_c,Sco4 specific
,BENZALDEHYDE_c,Sco4 specific
,BENZOATE_c,Sco4 specific
,BENZOYLSUCCINYL-COA_c,Sco4 specific
,BENZYL-ALCOHOL_c,Sco4 specific
,BENZYLSUCCINATE_c,Sco4 specific
,BENZYLSUCCINYL-COA_c,Sco4 specific
,BIOPTERIN_c,Sco4 specific
,BUTANAL_c,Sco4 specific
,BUTYRIC_ACID_c,Sco4 specific
,C3_c,Sco4 specific
,CAFFEOYL-COA_c,Sco4 specific
,CARBAMATE_c,Sco4 specific
,CARBAMOYL-SARCOSINE_c,Sco4 specific
,CARBON-MONOXIDE_c,Sco4 specific
,CARBOXYETHYL-3-5-CYCLOHEXADIENE-1-2-DIOL_c,Sco4 specific
,CARBOXYMETHYL-HYDROXYPHENYLPROPCOA_c,Sco4 specific
,CARNITINE_c,Sco4 specific
catechol[c],CATECHOL_c,same metabolite
,CDPDIACYLGLYCEROL_c,Sco4 specific
,CEPHALOSPORIN-C_c,Sco4 specific
,CHLOROACETIC-ACID_c,Sco4 specific
,CHLOROPHYLLIDE-A_c,Sco4 specific
,CHOLANATE2_c,Sco4 specific
,CHOLATE_c,Sco4 specific
,CHOLESTEROL_c,Sco4 specific
,CINNAMOYL-COA_c,Sco4 specific
,CIS-4-HYDROXY-D-PROLINE_c,Sco4 specific
,CMP-N-ACETYL-NEURAMINATE_c,Sco4 specific
,COUMARATE_c,Sco4 specific
,CPD-10012_c,Sco4 specific
