index,Met ID,MNX 1,MNX 2
391,galct__D_c,MNXM1080,
392,gam_e,MNXM533,
393,gdp_c,MNXM30,
394,gdpmann_c,MNXM82,
395,gdpmannur_c,MNXM722807,
396,geosmin_c,MNXM2444,
397,germicidinA_c,,
398,germicidinB_c,,
399,germicidinC_c,,
400,germicidinD_c,,
401,ggl_c,MNXM2608,MNXM54174
402,ggl_e,MNXM2608,MNXM54174
403,glc__D_c,MNXM41,
404,glc__D_e,MNXM41,
405,glc__bD_c,MNXM722744,MNXM105
406,gln__L_c,MNXM37,
407,gln__L_e,MNXM37,
408,glu__L_c,MNXM89557,
409,glu__L_e,MNXM89557,
410,gly_c,MNXM29,
411,gly_e,MNXM29,
412,glyb_c,MNXM289,
413,glyb_e,MNXM289,
414,glyc_c,MNXM89612,
415,glyc_e,MNXM89612,
416,glycogen_c,MNXM55375,
417,gmeACP_c,MNXM11700,
418,gmhep1p_c,MNXM1661,MNXM722826
419,gmhep7p_c,MNXM17114,MNXM722761
420,grmcrnd_c,MNXM3120,
421,grmcrol_c,MNXM1743,
422,gtca1_c,MNXM11710,
423,gtca2_c,MNXM11706,
424,gtca3_c,MNXM11708,
425,gthox_c,MNXM151,
426,gthrd_c,MNXM57,
427,h246dectACPcpk_c,,
428,h2o2_c,MNXM22,
429,h2o2_e,MNXM22,
430,h2o_c,MNXM2,
431,h2o_e,MNXM2,
432,hbc_c,,
433,hbm_c,,
434,hco3_c,MNXM60,
435,hcys__L_c,MNXM114070,
436,hdca_c,MNXM108,
437,hdcap_c,MNXM147481,
438,hdcea_c,MNXM950,MNXM162245
439,hdceap_c,MNXM147482,
440,hdcoa_c,MNXM581,MNXM90167
441,hdd2610t_c,,
442,hdeACP_c,MNXM89949,
443,hemeA_c,MNXM53309,
444,hepACP_c,,
445,hepdcaACP_c,,
446,hepdca_c,,
447,hepdcap_c,,
448,hex24dACPcpk_c,,
449,hexACP_c,MNXM90722,MNXM23683
450,hgmeACP_c,MNXM97395,
451,his__L_c,MNXM134,
452,his__L_e,MNXM134,
453,hmgcoa_c,MNXM197,MNXM36493
454,hop22en_c,MNXM4615,
455,hop22ol_c,MNXM4616,
456,hpmeACP_c,MNXM10038,
457,hqn_c,MNXM4100,MNXM376
458,hxcoa_c,MNXM162502,MNXM553
459,iC10ACP_c,,
460,iC11ACP_c,,
461,iC12ACP_c,,
462,iC13ACP_c,,
463,iC14ACP_c,,
464,iC14_c,,
465,iC14p_c,,
466,iC15ACP_c,,
467,iC15_c,,
468,iC15p_c,,
469,iC16ACP_c,,
470,iC16_c,,
471,iC16p_c,,
472,iC17ACP_c,,
473,iC17_c,,
474,iC17p_c,,
475,iC18ACP_c,,
476,iC18_c,,
477,iC18p_c,,
478,iC6ACP_c,,
479,iC7ACP_c,,
480,iC8ACP_c,,
481,iC9ACP_c,,
482,iacgam_c,MNXM91058,MNXM2062
483,iad_c,MNXM2239,
484,ibACP_c,,
485,igam_c,MNXM90771,MNXM1258
486,ile__L_c,MNXM231,
487,ile__L_e,MNXM231,
488,inost_c,MNXM127,
489,inost_e,MNXM127,
490,ins_c,MNXM334,
491,ins_e,MNXM334,
492,iscs_c,MNXM96100,MNXM146401
493,iscssh_c,MNXM3891,MNXM146402
494,ivACP_c,,
495,k_c,MNXM95,
496,k_e,MNXM95,
497,kppACPredN_c,,
498,lald__L_c,MNXM2387,
499,lcts_c,MNXM362,
500,lcts_e,MNXM362,
501,leu__L_c,MNXM140,
502,leu__L_e,MNXM140,
503,lipoamp_c,MNXM722796,
504,lipopb_c,MNXM147499,MNXM96070
505,lpam_c,MNXM1024,
506,lys__L_c,MNXM78,
507,lys__L_e,MNXM78,
508,malACPmmy_c,,
509,male_c,MNXM1239,
510,malpyr_c,MNXM2190,
511,malt6p_c,MNXM2394,
512,malt_c,MNXM165,
513,malt_e,MNXM165,
514,malthp_c,MNXM61025,
515,malthp_e,MNXM61025,
516,malthx_c,MNXM61028,
517,malthx_e,MNXM61028,
518,maltpt_c,MNXM61032,
519,maltpt_e,MNXM61032,
520,malttr_c,MNXM722790,MNXM61038
521,malttr_e,MNXM722790,MNXM61038
522,maltttr_c,MNXM5663,MNXM2395
523,maltttr_e,MNXM5663,MNXM2395
524,malylcoa_c,,
525,man1p_c,MNXM836,
526,man6p_c,MNXM40579,
527,mbc_c,,
528,mbm_c,,
529,melib_c,MNXM8340,MNXM1434
530,melib_e,MNXM8340,MNXM1434
531,meoh_c,MNXM157,
532,meoh_e,MNXM157,
533,mercppyr_c,MNXM1214,
534,met__L_c,MNXM61,
535,met__L_e,MNXM61,
536,metsox_R__L_c,MNXM2245,
537,metsox_S__L_c,MNXM2246,
538,mg2_c,MNXM653,
539,mg2_e,MNXM653,
540,mh5odhfmdp_c,,
541,mh5othfmdp_c,,
542,mi1p__L_c,MNXM540,MNXM147497
543,mmyA_c,,
544,mmyB_c,,
545,mmyC_c,,
546,mmyint1_c,,
547,mmyint2_c,,
548,mn2_c,MNXM1932,MNXM2255
549,mn2_e,MNXM1932,MNXM2255
550,mnl_c,MNXM615,
551,mnl_e,MNXM615,
552,moadamp_c,MNXM148352,
553,moadcoo_c,MNXM148353,
554,moadcosh_c,MNXM148354,
555,mobd_c,MNXM1026,
556,mobd_e,MNXM1026,
557,moco_c,MNXM62305,MNXM2838
558,mocogdp_c,MNXM62333,
559,msa_c,MNXM244,
560,msh_c,MNXM114216,MNXM590
561,mssg_c,MNXM12305,MNXM1935
562,murein3px4p_c,MNXM88341,
563,murein4p3p_c,MNXM88346,
564,murein4p4p_c,MNXM88347,
565,murein4px4p4p_c,MNXM87122,
566,murein4px4p_c,MNXM5316,
567,murein4px4px4p_c,MNXM6451,
568,murein5p3p_c,MNXM5972,
569,murein5p4p_c,MNXM5971,
570,murein5p5p5p_c,MNXM7807,
571,murein5p5p_c,MNXM88345,
572,murein5px3p_c,MNXM5970,
573,murein5px4p_c,MNXM88338,
574,murein5px4px4p_c,MNXM87121,
575,myrsACP_c,MNXM89779,MNXM564
576,n2o_c,MNXM579,
577,n2o_e,MNXM579,
578,na1_c,MNXM27,
579,na1_e,MNXM27,
580,nac_c,MNXM274,
581,nac_e,MNXM274,
582,nad_c,MNXM8,
583,ncam_c,MNXM216,
584,neral_c,MNXM3672,
585,nformanth_c,MNXM2265,MNXM165014
586,nh4_c,MNXM15,
587,nh4_e,MNXM15,
588,nico__S_c,MNXM90482,
589,nisirhcl_c,,
590,no3_c,MNXM207,
591,no3_e,MNXM207,
592,no_c,MNXM228,
593,no_e,MNXM228,
594,nonACP_c,,
595,nsirhcda_c,MNXM11372,
596,o2_c,MNXM4,
597,o2_e,MNXM4,
598,oaa_c,MNXM46,
599,ocACP_c,MNXM90185,MNXM979
600,ocdcaACP_c,MNXM6439,MNXM3075
601,ocdca_c,MNXM236,
602,ocdcap_c,MNXM147528,
603,ocdcea_c,MNXM306,
604,ocdceap_c,MNXM147529,
605,octa_c,MNXM750,
606,octapb_c,MNXM4090,MNXM147531
607,octeACP_c,MNXM89950,
608,odecoa_c,MNXM686,MNXM1848
609,ogmeACP_c,MNXM147799,
610,ohrad_c,MNXM56888,
611,op4en_c,MNXM9829,MNXM312
612,opmeACP_c,MNXM147801,
613,orn_c,MNXM89689,
614,orn_e,MNXM89689,
615,orot_c,MNXM235,
616,orot_e,MNXM235,
617,oxa_c,MNXM291,
618,p_tol_c,MNXM3331,MNXM87423
619,pa120_c,MNXM90509,MNXM96054
620,pa140_c,MNXM51017,MNXM96054
621,pa141_c,MNXM90512,MNXM96054
622,pa160_c,MNXM96054,MNXM17312
623,pa161_c,MNXM96054,MNXM90510
624,pa180_c,MNXM51279,MNXM96054
625,pa181_c,MNXM90511,MNXM96054
626,pac_c,MNXM497,
627,pac_e,MNXM497,
628,palmACP_c,MNXM844,MNXM2026
629,pan4p_c,MNXM722721,
630,pchlld_c,MNXM62503,
631,pe120_c,MNXM115,MNXM2858
632,pe140_c,MNXM115,MNXM2859
633,pe141_c,MNXM115,MNXM3693
634,pe160_c,MNXM115,MNXM32178
635,pe161_c,MNXM115,MNXM71458
636,pe180_c,MNXM31536,MNXM115
637,pe181_c,MNXM2150,MNXM115
638,peng_c,MNXM1812,
639,pg120_c,MNXM101192,MNXM1771
640,pg140_c,MNXM51019,MNXM101192
641,pg141_c,MNXM2029,MNXM101192
642,pg160_c,MNXM32179,MNXM101192
643,pg161_c,MNXM75101,MNXM101192
644,pg180_c,MNXM75102,MNXM101192
645,pg181_c,MNXM1773,MNXM101192
646,pgp120_c,MNXM5266,MNXM871
647,pgp140_c,MNXM871,MNXM5272
648,pgp141_c,MNXM5271,MNXM871
649,pgp160_c,MNXM871,MNXM32180
650,pgp161_c,MNXM75103,MNXM871
651,pgp180_c,MNXM871,MNXM75104
652,pgp181_c,MNXM5269,MNXM871
653,phe__L_c,MNXM97,
654,phe__L_e,MNXM97,
655,pheme_c,MNXM526203,MNXM249
656,phpyr_c,MNXM589160,
657,pi_c,MNXM9,
658,pi_e,MNXM9,
659,pk10ACPact_c,,
660,pk12ACPact_c,,
661,pk14ACPact_c,,
662,pk6ACPact_c,,
663,pk8ACPact_c,,
664,pmeACP_c,MNXM12694,
665,pnto__R_c,MNXM722715,MNXM364
666,pnto__R_e,MNXM722715,MNXM364
667,ppACP_c,,
668,ppa_c,MNXM162260,MNXM356
669,ppa_e,MNXM162260,MNXM356
670,prbatp_c,MNXM1351,MNXM722921
671,prephytedp_c,MNXM78028,
672,proPCPredO_c,MNXM7482,
673,pro__L_c,MNXM114,
674,pro__L_e,MNXM114,
675,proamp_c,,
676,progly_c,MNXM7481,
677,prpadnl_c,MNXM160539,
678,prpncoa_c,MNXM78210,MNXM650
679,ps120_c,MNXM221,MNXM7659
680,ps140_c,MNXM221,MNXM7665
681,ps141_c,MNXM221,MNXM7664
682,ps160_c,MNXM221,MNXM32181
683,ps161_c,MNXM7660,MNXM221
684,ps180_c,MNXM75116,MNXM221
685,ps181_c,MNXM221,MNXM7662
686,psqldi_c,MNXM591,
687,ptdcaACP_c,,
688,ptdca_c,MNXM163568,MNXM12597
689,ptdcap_c,,
690,ptnACP_c,,
691,pttamid_c,MNXM78035,
692,pydxn_c,MNXM419,
693,pydxn_e,MNXM419,
694,pyrKSredX_c,,
695,pyrPCPredO_c,MNXM7724,
696,q8_c,MNXM232,MNXM176
697,q8h2_c,MNXM202,MNXM191
698,qnon_c,MNXM2499,
699,r3mmal_c,MNXM2512,
700,r5p_c,MNXM116,MNXM15900
701,raffin_c,MNXM621,
702,raffin_e,MNXM621,
703,rbl__D_c,MNXM41271,
704,rbt_c,MNXM80887,
705,rephaccoa_c,MNXM2919,MNXM148501
706,rib__D_c,MNXM242,
707,rib__D_e,MNXM242,
708,ribflv_c,MNXM270,
709,rmn_c,MNXM1151,
710,rmn_e,MNXM1151,
711,salc_c,MNXM378,
712,sbt__D_c,MNXM469,
713,sbt__D_e,MNXM469,
714,scb1_c,,
715,scb1_e,,
716,scb2_c,,
717,scb2_e,,
718,scb3_c,,
719,scb3_e,,
720,ser__L_c,MNXM53,
721,ser__L_e,MNXM53,
722,so3_c,MNXM105630,
723,so4_c,MNXM58,
724,so4_e,MNXM58,
725,sql_c,MNXM292,
726,strprub_c,,
727,stys_c,MNXM1503,
728,sucr_c,MNXM167,
729,sucr_e,MNXM167,
730,sufbcd_2fe2s2_c,MNXM148512,
731,sufbcd_2fe2s_c,MNXM147308,
732,sufbcd_4fe4s_c,MNXM148511,
733,sufbcd_c,MNXM147307,
734,sufse_c,MNXM147309,
735,sufsesh_c,MNXM147310,
736,t3c11vaceACP_c,MNXM5958,
737,t3c5ddeceACP_c,MNXM5959,
738,t3c7mrseACP_c,MNXM5960,
739,t3c9palmeACP_c,MNXM5961,
740,taiC112eACP_c,,
741,taiC132eACP_c,,
742,taiC152eACP_c,,
743,taiC172eACP_c,,
744,taiC72eACP_c,,
745,taiC92eACP_c,,
746,taur_c,MNXM282,
747,taur_e,MNXM282,
748,tcynt_c,MNXM762,
749,tdeACP_c,MNXM162426,
750,tdecoa_c,MNXM2290,
751,thchd_c,MNXM114119,
752,thdp_c,MNXM722737,
753,thep2eACP_c,,
754,thepdca2eACP_c,,
755,thf_c,MNXM89609,MNXM79
756,thfglu_c,MNXM91741,MNXM317
757,thm_c,MNXM322,
758,thm_e,MNXM322,
759,thr__L_c,MNXM142,
760,thr__L_e,MNXM142,
761,tiC102eACP_c,,
762,tiC112eACP_c,,
763,tiC122eACP_c,,
764,tiC132eACP_c,,
765,tiC142eACP_c,,
766,tiC152eACP_c,,
767,tiC162eACP_c,,
768,tiC172eACP_c,,
769,tiC182eACP_c,,
770,tiC62eACP_c,,
771,tiC72eACP_c,,
772,tiC82eACP_c,,
773,tiC92eACP_c,,
774,tnon2eACP_c,,
775,tptdca2eACP_c,,
776,tptn2eACP_c,,
777,tre6p_c,MNXM448,
778,tre_c,MNXM198,MNXM87661
779,tre_e,MNXM198,MNXM87661
780,tridcaACP_c,,
781,trp__L_c,MNXM94,
782,trp__L_e,MNXM94,
783,tsul_c,MNXM323,
784,ttdca_c,MNXM314,MNXM162239
785,ttdcap_c,MNXM147613,
786,ttdcea_c,MNXM641,
787,ttdceap_c,MNXM147614,
788,ttridca2eACP_c,,
789,tundca2eACP_c,,
790,tyr__L_c,MNXM76,
791,tyr__L_e,MNXM76,
792,uGgla_c,MNXM162383,MNXM7865
793,uaagmda_c,MNXM722781,MNXM1242
794,uaccg_c,MNXM1688,MNXM723010
795,uacgam_c,MNXM47,
796,uacmam_c,MNXM932,
797,uacmamu_c,MNXM722783,
798,uagmda_c,MNXM2264,
799,uama_c,MNXM722770,
800,uamag_c,MNXM722734,
801,udcpdp_c,MNXM326,MNXM5043
802,udcpp_c,MNXM251,
803,udp_c,MNXM17,
804,udpg_c,MNXM52,
