index,Reaction ID,MNX 1,MNX 2,MNX 3
94,4C4HX2OA,MNXR106486,,
95,4CMCOAS,MNXR94998,,
96,4COXADH,MNXR115784,,
97,4HBHYOX,MNXR95009,,
98,4HDAPMO,MNXR139907,MNXR110620,
99,4HGLSD,MNXR95015,,
100,4HPROOR,MNXR108742,,
101,4HTHRS,MNXR95024,,
102,4HXBOPT,MNXR109837,,
103,4HXPUHBT,MNXR112824,,
104,4HYDPRO,MNXR114725,MNXR122103,
105,4IP7MO2H__R,MNXR110207,MNXR122793,
106,4IP7MO2H__S,MNXR110209,MNXR122810,
107,4IZPHYDs,MNXR108786,MNXR121962,
108,4MBZALDH,MNXR95030,,
109,4MBZDH,MNXR95031,,
110,4NIPHOM,MNXR107895,,
111,4NITROB,MNXR116219,,
112,4OT,MNXR126540,MNXR140841,
113,4PCP,MNXR95049,,
114,4SBZADH,MNXR109445,,
115,4SULFADH,MNXR109444,,
116,5CM2HMUCI,MNXR137956,MNXR115626,
117,5DGLCNR,MNXR95065,,
118,5DOAN,MNXR95069,,
119,5METDA,MNXR113074,,
120,5OP3TCCL,MNXR139274,MNXR115744,
121,6ADOFUT,MNXR114015,,
122,6HEXHYD,MNXR108397,,
123,6PHBG,MNXR95104,,
124,AAAHYD,MNXR109702,,
125,AACOATi,MNXR95136,,
126,AATA,MNXR95160,,
127,AATC,MNXR95161,,
128,ABPYRATA,MNXR113544,,
129,ABT2DG,MNXR107507,,
130,ABTA,MNXR95186,,
131,ABTD,MNXR137988,,
132,ABTDG,MNXR95188,,
133,ABUTD,MNXR95191,,
134,AC1MO,MNXR121004,,
135,ACACT1r,MNXR95194,,
136,ACACT2r,MNXR95196,,
137,ACACT3r,MNXR109092,MNXR95197,
138,ACACT4r,MNXR95198,,
139,ACACT5r,MNXR95199,MNXR95200,
140,ACACT6r,MNXR95201,,
141,ACACT7r,MNXR95203,,
142,ACACT8r,MNXR95204,,
143,ACBIPGT,MNXR95216,,
144,ACCAHh,MNXR95217,,
145,ACCOAC,MNXR95219,,
146,ACCOAC_1,MNXR95220,,
147,ACETDH,MNXR112943,,
148,ACGAMK,MNXR95249,,
149,ACGK,MNXR95256,,
150,ACGS,MNXR95259,,
151,ACHBS,MNXR95260,,
152,ACITRULD,MNXR112547,,
153,ACKr,MNXR95269,,
154,ACLS,MNXR95271,,
155,ACM6PH,MNXR95273,,
156,ACNMS,MNXR95297,MNXR116074,
157,ACOAD1f,MNXR95302,,
158,ACOAD2f,MNXR95303,MNXR109093,
159,ACOAD3f,MNXR95304,,
160,ACOAD4f,MNXR95298,MNXR109095,
161,ACOAD5f,MNXR95299,,
162,ACOAD6f,MNXR95300,,
163,ACOAD7f,MNXR95301,,
164,ACOAD8f,MNXR95317,,
165,ACOADH1,MNXR95306,,
166,ACOATA,MNXR95376,,
167,ACODA,MNXR95377,,
168,ACON6LAT,MNXR107584,,
169,ACONIs,MNXR95382,,
170,ACONMT,MNXR95383,,
171,ACONTa,MNXR95386,,
172,ACONTb,MNXR95387,,
173,ACOTA,MNXR95388,,
174,ACPPAT120,MNXR95395,,
175,ACPPAT140,MNXR95396,,
176,ACPPAT141,MNXR95397,,
177,ACPPAT160,MNXR95398,,
178,ACPPAT161,MNXR95399,,
179,ACPPAT180,MNXR95400,,
180,ACPPAT181,MNXR95401,,
181,ACPS1,MNXR107095,MNXR95403,
182,ACPSact,MNXR107095,,
183,ACPScda,MNXR107095,,
184,ACPSredL,MNXR107095,,
185,ACPSredN,MNXR107095,,
186,ACPSredQ,MNXR107095,,
187,ACPpds,MNXR138014,MNXR139055,
188,ACPpdsact,MNXR139055,MNXR107094,
189,ACPpdscda,MNXR139055,MNXR107094,
190,ACPpdsredL,MNXR139055,MNXR107094,
191,ACPpdsredN,MNXR139055,MNXR107094,
192,ACPpdsredQ,MNXR139055,MNXR107094,
193,ACRCOAR,MNXR113527,,
194,ACS,MNXR95413,,
195,ACS2,MNXR106753,MNXR95222,
196,ACTCOALIG,MNXR106436,,
197,ACTCOAT,MNXR106854,,
198,ACTCOAT2,MNXR111417,,
199,ACTS1,MNXR101421,,
200,ACTS10,MNXR112697,,
201,ACTS11,MNXR112700,,
202,ACTS12,MNXR112736,,
203,ACTS13,MNXR112737,,
204,ACTS14,MNXR112739,,
205,ACTS15,MNXR110461,,
206,ACTS16,MNXR110462,,
207,ACTS16b,MNXR112745,,
208,ACTS17,MNXR139690,,
209,ACTS18,MNXR139691,,
210,ACTS19,MNXR110463,,
211,ACTS2,MNXR100913,,
212,ACTS9,MNXR112694,,
213,ADA,MNXR95432,,
214,ADAPAT,MNXR95434,,
215,ADCL,MNXR95436,,
216,ADCPS1,MNXR138015,,
217,ADCPS2,MNXR95439,,
218,ADCS,MNXR95440,,
219,ADCYRS,MNXR95441,MNXR109403,
220,ADK1,MNXR95450,,
221,ADK2,MNXR95451,,
222,ADK3,MNXR95452,,
223,ADK4,MNXR95453,,
224,ADMDC,MNXR95455,,
225,ADNCYC,MNXR95444,,
226,ADNK1,MNXR95456,,
227,ADNUC,MNXR95459,,
228,ADOCBIK,MNXR95465,,
229,ADOCBLS,MNXR125857,,
230,ADOXFUTS,MNXR113988,,
231,ADPRDP,MNXR106807,MNXR95480,
232,ADPT,MNXR95482,,
233,ADPT2,MNXR95483,,
234,ADSK,MNXR95159,,
235,ADSL1r,MNXR140008,MNXR95493,
236,ADSL2r,MNXR108966,,
237,ADSS,MNXR140004,MNXR95495,
238,AGDC,MNXR95528,,
239,AGM4PCP,MNXR95547,,
240,AGMDA,MNXR95529,,
241,AGMT,MNXR95554,,
242,AGPAT120,MNXR95558,,
243,AGPAT140,MNXR95559,,
244,AGPAT141,MNXR95560,,
245,AGPAT160,MNXR95561,,
246,AGPAT161,MNXR95564,,
247,AGPAT180,MNXR95565,,
248,AGPAT181,MNXR95567,,
249,AGPR,MNXR95530,,
250,AGT,MNXR95618,,
251,AHCi,MNXR138021,,
252,AHLGAL,MNXR119690,,
253,AHLGALb,MNXR119769,,
254,AHMMPS,MNXR95632,,
255,AHOPS,MNXR118150,,
256,AHSERL2,MNXR138035,,
257,AICART,MNXR95639,MNXR139287,
258,AIRCr,MNXR95646,MNXR108735,
259,AKGDH,MNXR95655,,
260,AKGDH2,MNXR106444,,
261,AKP1,MNXR138037,MNXR139295,
262,ALAALAD,MNXR95675,,
263,ALAALAr,MNXR95678,,
264,ALAD_L,MNXR95687,,
265,ALALAC,MNXR113004,,
266,ALAR,MNXR95693,,
267,ALAS,MNXR95695,,
268,ALATA_D2,MNXR95697,,
269,ALATA_L,MNXR95698,,
270,ALATA_L2,MNXR95699,,
271,ALATRS,MNXR95701,MNXR107903,
272,ALBFLOLR,MNXR112346,,
273,ALBFLOLS,MNXR112344,,
274,ALBFLONR,MNXR112347,,
275,ALBFLONS,MNXR112345,,
276,ALCD19,MNXR95709,,
277,ALCD19y,MNXR95711,,
278,ALCD2x,MNXR95725,,
279,ALCD2y,MNXR95726,,
280,ALDD1,MNXR95732,,
281,ALDD19xr,MNXR95743,,
282,ALDD2x,MNXR95749,,
283,ALDH,MNXR95762,,
284,ALLTAMH2,MNXR107497,,
285,ALLTN,MNXR107498,MNXR95769,
286,ALPHNH,MNXR95786,,
287,AM4PCP,MNXR95794,,
288,AMALT1,MNXR138047,,
289,AMALT2,MNXR138048,,
290,AMALT3,MNXR138049,,
291,AMALT4,MNXR138050,,
292,AMAOTr,MNXR95806,,
293,AMBACS,MNXR118154,,
294,AMBCOAL,MNXR106771,,
295,AMID,MNXR95812,,
296,AMID3,MNXR95814,,
297,AMID5,MNXR95816,,
298,AMMQLT9,MNXR139728,,
299,AMMQT9,MNXR109274,,
300,AMPTASECG,MNXR95828,,
301,AMPTASEPG,MNXR95829,,
302,ANHMK,MNXR95840,,
303,ANPRT,MNXR95842,,
304,ANS,MNXR95843,,
305,ANTDIOx,MNXR106707,MNXR114918,
306,ANTDIOy,MNXR106708,,
307,AOBUTDs,MNXR95851,,
308,AOXSr2,MNXR95855,,
309,AP2EISOs,MNXR114400,,
310,APAT2r,MNXR95862,,
311,APATT,MNXR95863,,
312,APATc,MNXR139035,,
313,APATr,MNXR95865,,
314,APCS,MNXR95867,,
315,APG3PAT120,MNXR95869,,
316,APG3PAT140,MNXR95870,,
317,APG3PAT141,MNXR95871,,
318,APG3PAT160,MNXR95872,,
319,APG3PAT161,MNXR95873,,
320,APG3PAT180,MNXR95874,,
321,APG3PAT181,MNXR95875,,
322,APH120,MNXR95876,,
323,APH140,MNXR95877,,
324,APH141,MNXR95878,,
325,APH160,MNXR95879,,
326,APH161,MNXR95880,,
327,APH180,MNXR95881,,
328,APH181,MNXR95882,,
329,APPLDHr,MNXR138057,,
330,APRAUR,MNXR95898,,
331,APTNAT,MNXR95904,,
332,ARAB2r,MNXR107157,,
333,ARABDH,MNXR107563,,
334,ARABISOs,MNXR140489,,
335,ARABLAC,MNXR107564,,
336,ARAI,MNXR107160,,
337,ARAT,MNXR95923,,
338,ARGDr,MNXR95941,,
339,ARGSL,MNXR95948,MNXR138059,
340,ARGSS,MNXR95949,MNXR138060,
341,ARGTRS,MNXR95950,,
342,ARUH,MNXR96038,,
343,ASAD,MNXR96039,,
344,ASCISOs,MNXR138981,MNXR140858,
345,ASCOROX,MNXR140277,MNXR139553,
346,ASCORPO,MNXR140261,,
347,ASNN,MNXR96056,,
348,ASNS1,MNXR96059,,
349,ASNTRS,MNXR96064,,
350,ASP1DC,MNXR96077,,
351,ASPCT,MNXR96080,,
352,ASPK,MNXR96085,,
353,ASPO1,MNXR96088,,
354,ASPO3,MNXR96091,,
355,ASPO5,MNXR96093,,
356,ASPO6,MNXR96094,,
357,ASPT,MNXR96099,,
358,ASPTA,MNXR96079,,
359,ASPTRS,MNXR115727,MNXR96101,
360,ASR,MNXR96113,,
361,ATAH,MNXR95767,,
362,ATNS_nh4,MNXR95844,,
363,ATPHs,MNXR96130,,
364,ATPPRT,MNXR139023,MNXR96132,
365,BACCL,MNXR138107,MNXR96208,
366,BACCL2,MNXR109352,,
367,BALDHs,MNXR121837,,
368,BCOADH,MNXR115742,MNXR106853,
369,BDH,MNXR96232,,
370,BETALDHx,MNXR96237,,
371,BETALDHy,MNXR96238,,
372,BFBP,MNXR138109,,
373,BFORCL,MNXR107162,,
374,BFORMDC,MNXR107657,,
375,BGLA,MNXR96241,,
376,BMMCOAL,MNXR106758,,
377,BMOCOS,MNXR138144,,
378,BMOGDS1,MNXR96315,,
379,BMOGDS2,MNXR96316,,
380,BPNT,MNXR96321,,
381,BSUZCOAD,MNXR122413,,
382,BTAOR,MNXR111779,,
383,BTCOAR,MNXR96320,,
384,BTNC,MNXR96330,,
385,BTS5,MNXR106816,MNXR96344,
386,BUPN,MNXR96347,,
387,BUTCOAL,MNXR106852,,
388,BWCOGDS1,MNXR96356,,
389,BWCOGDS2,MNXR96357,,
390,BWCOS,MNXR138151,,
391,BZALDH,MNXR96362,,
392,BZDH,MNXR96365,,
393,BZSCT,MNXR138153,MNXR96368,
394,C7AHXDH,MNXR107726,,
395,CADHX,MNXR116634,,
396,CAFFCOA,MNXR96446,,
397,CARBMODH,MNXR114963,,
398,CARBPHOL,MNXR106966,,
399,CARNMOx,MNXR121831,,
400,CARNOX,MNXR139099,,
401,CAT,MNXR96455,,
402,CAT23DOX,MNXR96456,,
403,CBIAT,MNXR96465,MNXR110951,
404,CBLAT,MNXR126347,,
405,CBMD,MNXR96481,,
406,CBPS,MNXR96485,,
407,CCCR,MNXR112723,,
408,CDAS1,MNXR101421,,
409,CDAS13,MNXR110410,,
410,CDAS14a,MNXR110411,,
411,CDAS2,MNXR100913,,
412,CDAS3,MNXR94951,,
413,CDAS4,MNXR94886,,
414,CDAS5x,MNXR108883,,
415,CDAS5y,MNXR108884,,
416,CDAS6,MNXR109245,,
417,CDAS7,MNXR94952,,
418,CDAS8,MNXR94887,,
419,CDAS9x,MNXR109246,,
420,CDAS9y,MNXR109247,,
421,CDP4DGNOx,MNXR108139,,
422,CDP4DGNOy,MNXR108140,,
423,CDPMEK,MNXR96558,,
424,CEPSPORDA,MNXR107922,,
425,CHIRAISO,MNXR112738,,
426,CHO43OR,MNXR113260,,
427,CHOLD,MNXR96697,,
428,CHOLD2,MNXR106794,MNXR96698,
429,CHOLOX,MNXR107006,,
430,CHORDH,MNXR113987,,
431,CHORM,MNXR96708,,
432,CHORS,MNXR96709,,
433,CIGAMS,MNXR96721,MNXR113007,
434,CINNCOAL,MNXR107411,,
435,CINNDOX,MNXR117332,MNXR96722,
436,CITCIa2,MNXR108509,,
437,CITCIb,MNXR96730,,
438,CITL,MNXR96731,,
439,CITMS,MNXR96734,MNXR111048,
440,CLADHAL,MNXR109458,,
441,CLPNS120,MNXR139534,MNXR96781,
442,CLPNS140,MNXR139534,MNXR96782,
443,CLPNS141,MNXR139534,,
444,CLPNS150,MNXR139534,,
445,CLPNS160,MNXR139534,MNXR96784,
446,CLPNS161,MNXR139534,MNXR96786,
447,CLPNS170,MNXR139534,,
448,CLPNS180,MNXR139534,MNXR96787,
449,CLPNS181,MNXR139534,MNXR96788,
450,CLPNSII120,MNXR138178,,
451,CLPNSII140,MNXR138178,,
452,CLPNSII141,MNXR138178,,
453,CLPNSII150,MNXR138178,,
454,CLPNSII160,MNXR138178,,
455,CLPNSII161,MNXR138178,,
456,CLPNSII170,MNXR138178,,
457,CLPNSII180,MNXR138178,,
458,CLPNSII181,MNXR138178,,
459,CLPNSIIai150,MNXR138178,,
460,CLPNSIIai170,MNXR138178,,
461,CLPNSIIi140,MNXR138178,,
462,CLPNSIIi150,MNXR138178,,
463,CLPNSIIi160,MNXR138178,,
464,CLPNSIIi170,MNXR138178,,
465,CLPNSIIi180,MNXR138178,,
466,CLPNSai150,MNXR139534,,
467,CLPNSai170,MNXR139534,,
468,CLPNSi140,MNXR139534,,
469,CLPNSi150,MNXR139534,,
470,CLPNSi160,MNXR139534,,
471,CLPNSi170,MNXR139534,,
472,CLPNSi180,MNXR139534,,
473,CMCMSAD,MNXR94997,,
474,CMLDC,MNXR94999,,
475,CMPA,MNXR96800,,
476,COBP3DH,MNXR112229,,
477,COCHL,MNXR138179,,
478,CODSCL5BMT,MNXR96835,MNXR122471,
479,CODSCL5DA,MNXR96836,,
480,COSPERDH,MNXR112525,,
481,CPC2MT,MNXR109852,MNXR96832,
482,CPC3MT,MNXR96833,,
483,CPC6R,MNXR96837,,
484,CPC8MM,MNXR96840,,
485,CPMPS,MNXR126297,,
486,CPPPGO2,MNXR96881,,
487,CREATA,MNXR107216,,
488,CREATDA,MNXR107828,,
489,CS,MNXR96920,,
490,CSND,MNXR96927,,
491,CSPMDDH,MNXR96936,,
492,CTECOAI6,MNXR96940,,
493,CTECOAI7,MNXR96941,,
494,CTECOAI8,MNXR96942,,
495,CTPGNAC,MNXR108739,,
496,CTPS1,MNXR96944,,
497,CTPS2,MNXR96945,,
498,CUMALDH,MNXR109411,,
499,CYANST,MNXR138187,,
500,CYC1CCDH,MNXR109717,MNXR116210,
501,CYCHEXDH,MNXR110619,MNXR123017,
502,CYCHEXMO,MNXR107393,,
503,CYCHEX_2,MNXR107392,,
504,CYCOADH,MNXR116208,MNXR112687,
505,CYO1ab,MNXR139088,,
506,CYO2b,MNXR138955,,
507,CYRDAAT,MNXR96982,MNXR109401,
508,CYRDAR,MNXR96983,,
509,CYRDAS,MNXR96985,,
510,CYSBLY,MNXR140516,,
511,CYSDS,MNXR96994,,
512,CYSS,MNXR97007,,
513,CYSTGL,MNXR97012,,
514,CYSTL,MNXR138161,,
515,CYSTRS,MNXR115795,MNXR97018,
516,CYSTS,MNXR138197,,
517,CYT5MONP,MNXR123098,MNXR95295,
518,CYTD,MNXR97039,,
519,CYTDH,MNXR97040,,
520,CYTDK1,MNXR97041,,
521,CYTDK2,MNXR97042,,
522,CYTK1,MNXR97047,,
523,CYTK2,MNXR97053,,
524,D4DGCD,MNXR97069,MNXR107425,
525,D5KGK,MNXR97071,,
526,D5KGPA,MNXR97072,,
527,DABAACT,MNXR110695,,
528,DABAAT,MNXR97074,,
529,DACGKIN,MNXR107399,MNXR115829,
530,DADA,MNXR97076,,
531,DADK,MNXR96117,,
532,DAPAT,MNXR97139,,
533,DAPDC,MNXR97141,,
534,DAPE,MNXR97143,,
535,DARGO,MNXR97150,,
536,DASYN120,MNXR107177,MNXR97154,
537,DASYN140,MNXR107177,MNXR97155,
538,DASYN141,MNXR107177,MNXR97156,
539,DASYN150,MNXR107177,,
540,DASYN160,MNXR97157,MNXR107177,
541,DASYN161,MNXR107177,MNXR97159,
542,DASYN170,MNXR107177,,
543,DASYN180,MNXR107177,MNXR97160,
544,DASYN181,MNXR107177,MNXR97161,
545,DASYNai150,MNXR107177,,
546,DASYNai170,MNXR107177,,
547,DASYNi140,MNXR107177,,
548,DASYNi150,MNXR107177,,
549,DASYNi160,MNXR107177,,
550,DASYNi170,MNXR107177,,
551,DASYNi180,MNXR107177,,
552,DATPHs,MNXR97174,,
553,DB4PS,MNXR97178,,
554,DBTS,MNXR97180,,
555,DCH,MNXR95628,,
556,DCPEPFU,MNXR113488,,
557,DCTPD,MNXR97201,,
558,DCTPD2,MNXR97202,,
559,DCYCHEX,MNXR109418,,
560,DCYTD,MNXR97207,,
561,DDALLO,MNXR140282,,
562,DDGALK,MNXR97213,,
563,DDGLK,MNXR138209,,
564,DDPA,MNXR97218,,
565,DDPGA,MNXR97219,MNXR106545,
566,DGALACYC,MNXR114162,,
567,DGI,MNXR112047,,
568,DGK1,MNXR97320,,
569,DGLUC4KR,MNXR117809,,
570,DGLUCMT,MNXR117811,,
571,DGLUCYC,MNXR114384,,
572,DGLYHRED,MNXR109656,,
573,DHACOAH,MNXR110666,MNXR97357,
574,DHAD1,MNXR97358,,
575,DHAD2,MNXR97359,,
576,DHAK,MNXR97361,,
577,DHAPT,MNXR97364,,
578,DHBD,MNXR97368,,
579,DHBS,MNXR97369,,
580,DHDPRy,MNXR138232,MNXR139260,
581,DHDPS,MNXR113514,MNXR97394,
582,DHFR,MNXR97401,MNXR139012,
583,DHFS,MNXR140043,MNXR138234,
584,DHICONF,MNXR119648,,
585,DHNAOT9,MNXR109715,,
586,DHNAS,MNXR97411,,
587,DHNPA2r,MNXR125603,MNXR97415,
588,DHNPTE,MNXR138236,,
589,DHORD4,MNXR139074,,
590,DHORD5,MNXR97421,,
591,DHORTS,MNXR97428,,
592,DHPD,MNXR97432,,
593,DHPPDA2,MNXR97435,,
594,DHPS,MNXR139168,MNXR138240,
595,DHPS2,MNXR138241,MNXR140085,
596,DHQS,MNXR97447,,
597,DHQTi,MNXR97449,,
598,DHYDTHYM,MNXR116784,MNXR107917,
599,DIFRNLY,MNXR112211,,
600,DIOP5OR,MNXR106443,,
601,DMATT,MNXR97512,,
602,DMBZIDS,MNXR97515,,
603,DMETMO,MNXR108107,,
604,DMPPS,MNXR97524,MNXR111778,
605,DMT,MNXR97535,,
606,DNADDP,MNXR97624,,
607,DNMPPA,MNXR126238,,
608,DNTPPA_1,MNXR138250,MNXR97680,
609,DORNO,MNXR97759,,
610,DPCOAK,MNXR97762,,
611,DPCOX,MNXR117423,MNXR113085,
612,DPMSYN,MNXR106788,MNXR115158,
613,DPR,MNXR97779,,
614,DPROLORED,MNXR107807,,
615,DRBK,MNXR118567,MNXR126494,
616,DRIB2FUR,MNXR113487,,
617,DRIBPA,MNXR115814,,
618,DRPA,MNXR97787,,
619,DTARTD,MNXR97802,,
620,DTDP26DGR,MNXR128737,,
621,DTDPG4E,MNXR107867,,
622,DTMPK,MNXR97804,,
623,DURIK1,MNXR97817,,
624,DURIPP,MNXR97818,MNXR138258,
625,DUTPDP,MNXR97822,,
626,DX5PGLYCPL,MNXR107093,,
627,DXPRIi,MNXR97830,,
628,DXPS,MNXR97831,,
629,DXYLDH,MNXR107501,,
630,DXYLK,MNXR97832,,
631,E4PD,MNXR97842,,
632,EAR100x,MNXR97845,MNXR109252,
633,EAR100y,MNXR97846,MNXR109253,
634,EAR120x,MNXR109080,MNXR97847,
635,EAR120y,MNXR109081,MNXR97848,
636,EAR121x,MNXR97849,,
637,EAR121y,MNXR97850,,
638,EAR140x,MNXR109255,MNXR97851,
639,EAR140y,MNXR97852,MNXR109256,
640,EAR141x,MNXR97853,,
641,EAR141y,MNXR97854,,
642,EAR160x,MNXR97855,MNXR109258,
643,EAR160y,MNXR109259,MNXR97856,
644,EAR161x,MNXR97857,,
645,EAR161y,MNXR97858,,
646,EAR180x,MNXR97859,MNXR111353,
647,EAR180y,MNXR97860,,
648,EAR181x,MNXR97861,,
649,EAR181y,MNXR97862,,
650,EAR40x,MNXR97863,MNXR108883,
651,EAR40y,MNXR108884,MNXR97864,
652,EAR60x,MNXR97865,MNXR109246,
653,EAR60y,MNXR97866,MNXR109247,
654,EAR80x,MNXR97867,MNXR109249,
655,EAR80y,MNXR109250,MNXR97868,
656,ECOAH1,MNXR97883,,
657,ECOAH12,MNXR138263,,
658,ECOAH2,MNXR97886,,
659,ECOAH3,MNXR118594,MNXR97888,
660,ECOAH4,MNXR97889,,
661,ECOAH5,MNXR97890,,
662,ECOAH6,MNXR97891,,
663,ECOAH7,MNXR97892,,
664,ECOAH8,MNXR103466,MNXR97893,
665,ECOAH9ir,MNXR97894,,
666,ECTS,MNXR110696,,
667,EDA,MNXR97897,,
668,EGMEACPR,MNXR97906,,
669,EHGLAT,MNXR97908,MNXR109292,
670,EIZOO,MNXR113454,,
671,EMCCCM,MNXR112724,,
672,EME,MNXR113370,,
673,EN6LNOR,MNXR111220,,
674,ENO,MNXR97932,,
675,EPIZSYN,MNXR111415,,
676,EPMEACPR,MNXR97945,,
677,EPMGH,MNXR97918,,
678,ERTHMMOR,MNXR106779,,
679,ETHAAL,MNXR97968,,
680,FACOAE100,MNXR99127,MNXR122908,
681,FACOAE120,MNXR122907,MNXR99128,
682,FACOAE140,MNXR122906,MNXR99129,
683,FACOAE141,MNXR99130,,
684,FACOAE160,MNXR99131,,
685,FACOAE161,MNXR99132,,
686,FACOAE180,MNXR99133,,
687,FACOAE181,MNXR99134,MNXR111750,
688,FACOAE60,MNXR99139,,
689,FACOAE80,MNXR99140,,
690,FACOAL140,MNXR99145,,
691,FACOAL141,MNXR99148,,
692,FACOAL160,MNXR99153,,
693,FACOAL161,MNXR99156,,
694,FACOAL180,MNXR99164,,
695,FACOAL181,MNXR99168,,
696,FACOAL80,MNXR99205,,
697,FADRx2,MNXR118281,MNXR99216,
698,FALDH2,MNXR99237,MNXR121649,
699,FALDH3,MNXR110840,,
700,FALGTHLs,MNXR99239,,
701,FANH,MNXR106774,,
702,FARNDPPS,MNXR112069,,
703,FBA,MNXR99459,,
704,FBA2,MNXR99460,MNXR140842,
705,FBA3,MNXR99461,,
706,FBA4,MNXR99462,,
707,FBA_1,MNXR138345,,
708,FBP,MNXR138346,,
709,FCLPA,MNXR99470,,
710,FCLT,MNXR99471,MNXR138966,
711,FDH,MNXR99475,,
712,FE3Ri,MNXR99524,,
713,FENTON,MNXR117619,,
714,FERO,MNXR99561,,
715,FEROXCYC,MNXR116637,,
716,FEROXG1S,MNXR116636,,
717,FESD1s,MNXR99585,,
718,FESD2s,MNXR99586,,
719,FESR,MNXR99587,,
720,FGLU,MNXR99593,MNXR138654,
721,FHL,MNXR99594,,
722,FKYNH,MNXR140022,MNXR99596,
723,FLAVMO,MNXR119467,,
724,FLVR,MNXR99601,MNXR117561,
725,FMETTRS,MNXR139232,MNXR99604,
726,FMNAT,MNXR95501,,
727,FMNRx,MNXR99607,,
728,FMNRx2,MNXR99597,,
729,FNOR,MNXR99609,,
730,FORAMD,MNXR99615,,
731,FORCT,MNXR99616,,
732,FORGLUIH,MNXR99617,MNXR139092,
733,FORHOPS,MNXR118151,,
734,FRD3,MNXR99639,,
735,FRNDIT,MNXR103264,,
736,FRTT,MNXR99650,,
737,FRU6PE4P,MNXR115892,MNXR138987,
738,FRUISOs,MNXR140425,,
739,FRUK,MNXR99652,,
740,FTHFCL_1,MNXR99668,,
741,FTHFD,MNXR99669,MNXR139017,
742,FUM,MNXR99705,,
743,FUMAC,MNXR99706,,
