ID,Charge,Formula
co2dam_c,-4,C45H56CoN6O12
co_c,0,
coa_c,-4,C21H32N7O16P3S
cobalt2_c,2,Co
cobalt2_e,2,Co
cobya_c,-6,C45H52N4O14Co
codhpre6_c,-7,C44H47N4O16Co
codscl5a_c,-7,C45H45CoN4O16
codscl5b_c,-7,C43H43CoN4O16
coelichelin_c,-3,C21H36N7O11
coelichelin_e,-3,C21H36N7O11
cofac3_c,-7,C43H41N4O16Co
cooodacp_c,-2,C30H39N3O17PSR
copre2_c,-8,C42H38N4O16Co
copre3_c,-8,C43H40N4O16Co
copre4_c,-7,C44H43N4O16Co
copre6_c,-7,C44H45N4O16Co
copre8_c,-6,C45H52N4O14Co
coucoa_c,-4,
coxsperm_c,2,
cpkepox_c,0,C12H15NO2
cpkepox_e,0,C12H15NO2
cpmp_c,-1,C10H13N5O8P
cpppg1_c,-4,C36H40N4O8
cpppg3_c,-4,C36H40N4O8
cptrc_c,1,C5H14N3O
creat_c,0,
crn_c,0,
crtn_c,0,
csn_c,0,C4H5N3O
csn_e,0,C4H5N3O
cspmd_c,2,
ctp_c,-4,C9H12N3O14P3
cu2_c,2,Cu
cu2_e,2,Cu
cu_c,1,Cu
cu_e,1,Cu
cy_c,0,CHNO
cy_e,0,CHNO
cyan_c,0,CHN
cyccarcoa_c,-4,
cychex1coa_c,-4,
cychex_c,0,
cychxaol_c,0,
cys__L_c,0,C3H7NO2S
cys__L_e,0,C3H7NO2S
cyst__L_c,0,C7H14N2O4S
cystrna_c,1,C3H6NOSR
cytd_c,0,C9H13N3O5
cytd_e,0,C9H13N3O5
d11oxpen_c,-1,
d5kg_c,-1,C6H9O6
d5kgp_c,-3,C6H8O9P
dacepspo_c,-1,
dad_2_c,0,C10H13N5O3
dad_2_e,0,C10H13N5O3
dad_5_c,0,C10H13N5O3
dadp_c,-3,C10H12N5O9P2
dalua_c,0,C4H4N2O4
damp_c,-2,C10H12N5O6P
damp_e,-2,C10H12N5O6P
dann_c,1,C9H21N2O2
datp_c,-4,C10H12N5O12P3
db4p_c,-2,C4H7O6P
dc2coa_c,-4,C31H48N7O17P3S
dcaACP_c,-1,C21H39N2O8PRS
dcaACPredQ_c,-1,C21H39N2O8PRS
dca_c,-1,C10H19O2
dcacoa_c,-4,C31H50N7O17P3S
dcamp_c,-4,C14H14N5O11P
dcdp_c,-3,C9H12N3O10P2
dcmp_c,-2,C9H12N3O7P
dcmp_e,-2,C9H12N3O7P
dctp_c,-4,C9H12N3O13P3
dcyt_c,0,C9H13N3O4
dcyt_e,0,C9H13N3O4
dd2coa_c,-4,C33H52N7O17P3S
ddcaACP_c,-1,C23H43N2O8PRS
ddcaACPredL_c,-1,C23H43N2O8PRS
ddcaACPredQ_c,-1,C23H43N2O8PRS
ddca_c,-1,C12H23O2
ddcacoa_c,-4,C33H54N7O17P3S
ddcap_c,-1,C12H24O5P1
dddeccoa_c,-4,
ddhkACPact_c,-1,C27H35N2O11PRS
ddhrb_c,0,C16H17N3O7
decda_tb_c,-1,
decint1_c,-2,C31H36N2O15PRS
des_c,0,C2H5O4P
des_e,0,C2H5O4P
dgal6p_c,-2,C6H11O9P
dgdp_c,-3,C10H12N5O10P2
dgmp_c,-2,C10H12N5O7P
dgmp_e,-2,C10H12N5O7P
dgsn_c,0,C10H13N5O4
dgsn_e,0,C10H13N5O4
dgtp_c,-4,C10H12N5O13P3
dh6na_c,-1,C11H7O4
dh7oxcho_c,-1,
dha_c,0,C3H6O3
dha_e,0,C3H6O3
dhap_c,-2,C3H5O6P
dhcinnm_c,-1,
dhdascb_c,0,
dhdcarn_c,0,C7H14NO3
dhf_c,-2,C19H19N7O6
dhgly_c,-1,C2H2NO2
dhiconf_c,-1,
dhiconfa_c,0,
dhkACPact_c,-1,C27H33N2O12PRS
dhkdhqn_c,-1,C16H15O6
dhlam_c,0,C8H17NOS2
dhlpro_c,0,C8H16N1OS2R
dhmpt_c,0,C9H13N5O4
dhna_c,-1,C11H7O4
dhnpt_c,0,C9H13N5O4
dhor__S_c,-1,C5H5N2O4
dhpmp_c,-1,C9H13N5O7P
dhpppn_c,-1,
dhpt_c,-1,C14H13N6O3
dhxfut_c,-1,C14H15O7
dim1oct_c,0,
dimp_c,-2,C10H11N4O7P
dimp_e,-2,C10H11N4O7P
din_c,0,C10H12N4O4
din_e,0,C10H12N4O4
ditp_c,-4,C10H11N4O13P3
dmbzid_c,0,C9H10N2
dmlz_c,0,C13H18N4O6
dmpp_c,-3,C5H9O7P2
dmppat_c,0,
dmthiopp_c,-1,
dna5mtc_c,-2,C10H16N3O7PR
dna_c,0,R
dnac_c,-2,C9H14N3O7PR
dnad_c,-2,C21H24N6O15P2
dnpaACPact_c,-1,C27H33N2O11PRS
dolichol_c,0,
dolmanp_c,0,
donor_c,-1,RH
dopa__L_c,0,
dpcoa_c,-2,C21H33N7O13P2S
dpntp_c,-3,C9H15N5O14P3
dpperypfur_c,-1,
drib_c,0,C5H10O4
drib_e,0,C5H10O4
dscl_c,-7,C42H41N4O16
dtbt_c,-1,C10H17N2O3
dtdp26ddgh2e2u_c,-3,
dtdp34dh26doglc_c,-2,
dtdp4d6dg_c,-2,C16H22N2O15P2
dtdp4d6dm_c,-2,C16H22N2O15P2
dtdp4dh26dall_c,-2,
dtdp4dh3m26ddglc_c,-2,
dtdp4h26dthp_c,-2,
dtdp_c,-3,C10H13N2O11P2
dtdpaoliv_c,-2,
dtdpgal_c,-3,C16H23N2O16P2
dtdpglu_c,-2,C16H24N2O16P2
dtdprmn_c,-2,C16H24N2O15P2
dtmp_c,-2,C10H13N2O8P
dtmp_e,-2,C10H13N2O8P
dttoao_c,-3,C9H15N5O14P3
dttp_c,-4,C10H13N2O14P3
dudp_c,-3,C9H11N2O11P2
dump_c,-2,C9H11N2O8P
dump_e,-2,C9H11N2O8P
duri_c,0,C9H12N2O5
duri_e,0,C9H12N2O5
dutp_c,-4,C9H11N2O14P3
dvchlda_c,-2,C35H30N4O5MG1
dvpchlda_c,-2,C35H28N4O5MG1
dxyl5p_c,-2,C5H9O7P
dxyl_c,0,C5H10O4
e4hglu_c,-1,C5H8NO5
e4p_c,-2,C4H7O7P
ecaplac_c,0,
ecinncoa_c,-4,
ectoine_c,-1,C6H9N2O2
egmeACP_c,-1,C17H27N2O10PRS
eig3p_c,-2,C6H9N2O6P
emcoa__R_c,-5,C26H37N7O19P3S
emcoa__S_c,-5,C26H37N7O19P3S
entbactin_c,0,C30H27N3O15
entbactin_e,0,C30H27N3O15
enter_c,0,
enter_e,0,
ephxcoa_c,-4,C27H40N7O18P3S
episz_c,0,C15H24
epm_c,0,C12H22O11
epm_e,0,C12H22O11
epmeACP_c,-1,C19H31N2O10PRS
etf_ox_c,0,
etha_c,1,C2H8NO
etha_e,1,C2H8NO
etoh_c,0,C2H6O
etoh_e,0,C2H6O
f1p_c,-2,C6H11O9P
f420_0_c,-2,C19H20N3O12P
f420_1_c,-2,C24H27N4O15P
f420_c,-2,C29H34N5O18P
f420ox_c,0,
f420red_c,0,
f6p_c,-2,C6H11O9P
fad_c,-2,C27H31N9O15P2
fadh2_c,-2,C27H33N9O15P2
fald_c,0,CH2O
fald_e,0,CH2O
fb_c,0,C16H28N2O11
fb_e,0,C16H28N2O11
fc1p_c,-2,
fcoelchl_c,0,C21H36N7O11Fe
fcoelchl_e,0,C21H36N7O11Fe
fdp_c,-4,C6H10O12P2
fdxox_c,1,R
fdxrd_c,0,R
fe2_c,2,Fe
fe2_e,2,Fe
fe3_c,3,Fe
fe3_e,3,Fe
fentero_c,0,C30H21N3015
fentero_e,0,C30H21N3015
feroxB_c,-3,C25H45N6O8
feroxB_e,-3,C25H45N6O8
feroxBfe_c,0,C25H45FeN6O8
feroxBfe_e,0,C25H45FeN6O8
feroxE_c,-3,C25H45N6O8
feroxE_e,-3,C25H45N6O8
feroxEfe_c,0,C25H45FeN6O8
feroxEfe_e,0,C25H45FeN6O8
feroxG1_c,0,
fgam_c,-2,C8H13N2O9P
ficytc_c,1,C42H52FeN8O6S2
ficytc_e,1,C42H52FeN8O6S2
flaviolin_c,-1,
fldox_c,0,R
fldrd_c,0,H2R
fmettrna_c,0,C6H9NO2SR
fmn_c,-2,C17H19N4O9P
fmnh2_c,-2,C17H21N4O9P
focytc_c,1,C42H53FeN8O6S2
for_c,-1,CH1O2
for_e,-1,CH1O2
forcoa_c,-4,C22H32N7O17P3S
forfurmpp_c,-2,
forglu_c,-2,C6H8N2O4
foriglut_c,-1,
formhop_c,0,
formyct_c,0,
fpntp_c,-4,C10H14N5O15P3
fpram_c,-1,C8H15N3O8P
fprica_c,-2,C10H13N4O9P
frdp_2_c,-3,
frdp_c,-3,C15H25O7P2
frmd_c,0,CH3NO
fru_c,0,C6H12O6
fru_e,0,C6H12O6
fruur_c,0,
fucose_c,0,C01019
fucose_e,0,C01019
fum_c,-2,C4H2O4
fum_e,-2,C4H2O4
fumpyr_c,-2,
fus_c,0,C10H13NO2
fus_e,0,C10H13NO2
fut_c,-1,C19H17N4O7
g15lac_c,0,C6H10O6
g1p_c,-2,C6H11O9P
g3p_c,-2,C3H5O6P
g3pc_c,0,C8H20NO6P
g3pc_e,0,C8H20NO6P
g3pe_c,0,C5H14NO6P
g3pe_e,0,C5H14NO6P
g3pg_c,-1,C6H14O8P
g3pg_e,-1,C6H14O8P
g3pi_c,-1,C9H18O11P
g3pi_e,-1,C9H18O11P
g3ps_c,-1,C6H13NO8P
g3ps_e,-1,C6H13NO8P
g6p_c,-2,C6H11O9P
ga_c,-1,
gact_e,0,C32H22O14
gal14lac__D_c,-1,
gal15lac_c,-1,
gal1p_c,-2,C6H11O9P
gal__L_c,0,
gal_aD_c,0,C6H12O6
gal_c,0,C6H12O6
gal_e,0,C6H12O6
galac14lac_c,0,
galac15lac_c,0,
galct__D_c,-2,
galctn__D_c,-1,C6H11O7
galctn__D_e,-1,C6H11O7
gam1p_c,-1,C6H13NO8P
gam6p_c,-1,C6H13NO8P
gam_e,1,C6H14NO5
gar_c,-1,C7H14N2O8P
gcald_c,0,C2H4O2
gcarote_c,0,
gcgguaiac_c,0,
gcgguaiace_c,0,
gdp6dklh_c,-2,
gdp6domanhep_c,-2,
gdp_c,-3,C10H12N5O11P2
gdpddman_c,-2,C16H21N5O15P2
gdpmann_c,-2,C16H23N5O16P2
gdpmannur_c,-3,
gdptp_c,-7,C10H11N5O20P5
geosmin_c,0,C12H22O
geranial_c,0,
geraniol_c,0,
germicidinA_c,0,C10H14O3
germicidinB_c,0,C10H14O3
germicidinC_c,0,C11H16O3
germicidinD_c,0,C9H12O3
gg4abut_c,-1,
ggaggdcap_c,-3,
ggcysto_c,-1,
ggdp_c,-3,C20H33O7P2
ggl_c,0,C9H18O8
ggl_e,0,C9H18O8
ggputresc_c,1,
ghb_c,-1,
glc__D_c,0,C6H12O6
glc__D_e,0,C6H12O6
glc__bD_c,0,C6H12O6
glcn_c,-1,C6H11O7
glcn_e,-1,C6H11O7
glcr_c,-2,C6H8O8
glcr_e,-2,C6H8O8
gln__L_c,0,C5H10N2O3
gln__L_e,0,C5H10N2O3
glntrna_c,1,C5H9N2O2R
glu1sa_c,0,C5H9NO3
glu5p_c,-2,C5H8NO7P
glu5sa_c,0,C5H9NO3
glu__D_c,-1,C5H8NO4
glu__L_c,-1,C5H8NO4
glu__L_e,-1,C5H8NO4
gluca14lac_c,-1,
gluca15lac_c,-1,
glucor__bD_c,-1,
glucs_c,0,C6H11O6R
glucs_e,0,C6H11O6R
glucys_c,-1,
glutADP_c,0,C10H10N2O3R2
glutar_c,-2,C5H6O4
glutcoa_c,-5,C26H37N7O19P3S
glutrna_c,0,C5H7NO3R
glx_c,-1,C2H1O3
gly_c,0,C2H5NO2
gly_e,0,C2H5NO2
glyald_c,0,C3H6O3
glyald_e,0,C3H6O3
glyb_c,0,C5H11NO2
glyb_e,0,C5H11NO2
glyc3p_c,-2,C3H7O6P
glyc3p_e,-2,C3H7O6P
glyc__R_c,-1,C3H5O4
glyc__R_e,-1,C3H5O4
glyc_c,0,C3H8O3
glyc_e,0,C3H8O3
glyclt_c,-1,C2H3O3
glyclt_e,-1,C2H3O3
glycogen_c,0,C6H10O5
glytrna_c,1,C2H4NOR
gmeACP_c,-1,C17H29N2O10PRS
gmhep17bp__B_c,-4,
gmhep1p_c,-2,
gmhep7p_c,0,
gmp_c,-2,C10H12N5O8P
gmp_e,-2,C10H12N5O8P
gpdtoucap_c,-1,
grdp_c,-3,C10H17O7P2
grmcrnd_c,0,C15H24
grmcrol_c,0,C15H26O
gsn_c,0,C10H13N5O5
gsn_e,0,C10H13N5O5
gtca1_c,-25,C91H178N2O136P25
gtca2_c,0,C166H328N27O161P25
gtca3_c,-25,C241H428N2O261P25
gtca3_e,-25,C241H428N2O261P25
gthox_c,-2,C20H30N6O12S2
gthox_e,-2,C20H30N6O12S2
gthrd_c,-1,C10H16N3O6S
gtp_c,-4,C10H12N5O14P3
gua_c,0,C5H5N5O
gua_e,0,C5H5N5O
gullac_c,0,
guln__L_c,-1,
h246dectACPcpk_c,-1,C21H33N2O9PRS
h2_c,0,
h2mb4p_c,-3,C5H9O8P2
h2o2_c,0,H2O2
h2o2_e,0,H2O2
h2o_c,0,H2O
h2o_e,0,H2O
h2s_c,0,H2S
h2s_e,0,H2S
hLkynr_c,0,C10H12N2O4
h_c,1,H
h_e,1,H
haphenon_c,0,C8H8O2
hbc_c,0,C9H8N2O2
hbm_c,0,C9H10N2O2
hccystox_c,0,
hco3_c,-1,CHO3
hcys__L_c,0,C4H9NO2S
hdca_c,-1,C16H31O2
hdcap_c,-1,C16H32O5P
hdcea_c,-1,C16H29O2
hdceap_c,-1,C16H30O5P
hdcoa_c,-4,C37H60N7O17P3S
hdd2610t_c,0,C12H15O2
hdd2coa_c,-4,C37H60N7O17P3S
hdeACP_c,-1,C27H49N2O8PRS
hdhk_c,0,C16H13O7
hdoxcad_c,1,
hemeA_c,-6,C49H54FeN4O6
hemeO_c,-2,C49H56FeN4O5
hemeO_e,-2,C49H56FeN4O5
hepACP_c,-1,C18H33N2O8PRS
hepdcaACP_c,-1,C28H53N2O8PRS
hepdca_c,-1,C17H33O2
hepdcap_c,-1,C17H34O5P
hepdp_c,-3,C35H57O7P2
hercyn_c,0,
hex24dACPcpk_c,-1,C17H29N2O8PRS
hexACP_c,-1,C17H31N2O8PRS
hexACPcda_c,-1,C17H31N2O8PRS
hexACPredQ_c,-1,C17H31N2O8PRS
hexdp_c,-3,C30H49O7P2
hgbam_c,-5,C45H57N6O12
hgbyr_c,-6,C45H54N4O14
hgentis_c,-1,C8H7O4
hgmeACP_c,-1,C17H29N2O11PRS
his__L_c,0,C6H9N3O2
his__L_e,0,C6H9N3O2
hisp_c,-1,C6H11N3O4P
histd_c,1,C6H12N3O
histda_c,1,C6H10N3O
histrna_c,1,C6H8N3OR
hmbil_c,-8,C40H38N4O17
hmgcoa_c,-5,C27H39N7O20P3S
hmgth_c,-1,
hmmsh_c,0,
hom__L_c,0,C4H9NO3
hom__L_e,0,C4H9NO3
hop22en_c,0,C30H50
hop22ol_c,0,C30H52O
hosuprop_c,-1,
houdic_c,-1,C5H5N4O5
hpglu_c,0,C24H34N8O12
hpmeACP_c,-1,C19H33N2O11PRS
hpyr_c,-1,C3H3O4
hqn_c,0,C6H6O2
hsql_c,0,
hx2coa_c,-4,C27H40N7O17P3S
hxa_c,-1,C6H11O2
hxan_c,0,C5H4N4O
hxan_e,0,C5H4N4O
hxcoa_c,-4,C27H42N7O17P3S
hycorn_c,0,
hyxsuccad_c,0,
iC10ACP_c,-1,C21H39N2O8PRS
iC11ACP_c,-1,C22H41N2O8PRS
iC12ACP_c,-1,C23H43N2O8PRS
iC13ACP_c,-1,C24H45N2O8PRS
iC14ACP_c,-1,C25H47N2O8PRS
iC14_c,-1,C14H27O2
iC14p_c,-1,C14H28O5P
iC15ACP_c,-1,C26H49N2O8PRS
iC15_c,-1,C15H29O2
iC15p_c,-1,C15H30O5P
iC16ACP_c,-1,C27H51N2O8PRS
iC16_c,-1,C16H31O2
iC16p_c,-1,C16H32O5P
iC17ACP_c,-1,C28H53N2O8PRS
iC17_c,-1,C17H33O2
iC17p_c,-1,C17H34O5P
iC18ACP_c,-1,C29H55N2O8PRS
iC18_c,-1,C18H35O2
iC18p_c,-1,C18H36O5P
iC6ACP_c,-1,C17H31N2O8PRS
iC7ACP_c,-1,C18H33N2O8PRS
iC8ACP_c,-1,C19H35N2O8PRS
iC9ACP_c,-1,C20H37N2O8PRS
iacgam_c,0,C14H25NO11
iad_c,0,
iasp_c,-1,C4H4NO4
ibACP_c,-1,C15H27N2O8PRS
ibcoa_c,-4,C25H38N7O17P3S
ichor_c,-2,C10H8O6
icit_c,-3,C6H5O7
idon__L_c,-1,C6H11O7
idon__L_e,-1,C6H11O7
idp_c,-3,C10H11N4O11P2
igam_c,1,C12H24NO10
ile__L_c,0,C6H13NO2
ile__L_e,0,C6H13NO2
iletrna_c,1,C6H12NOR
imacp_c,-2,C6H7N2O5P
imp_c,-2,C10H11N4O8P
imp_e,-2,C10H11N4O8P
ind3ac_c,-1,
indig_c,0,C16H8Br2N2O2
indig_e,0,C16H8Br2N2O2
indole_c,0,C8H7N
indole_e,0,C8H7N
indpyr_c,-1,
inost_c,0,C6H12O6
inost_e,0,C6H12O6
ins_c,0,C10H12N4O5
ins_e,0,C10H12N4O5
ipdp_c,-3,C5H9O7P2
iprimev_c,0,
iscs_c,0,HSR
iscssh_c,0,HS2R
itaccoa_c,-5,
itacon_c,-2,
itp_c,-4,C10H11N4O14P3
ivACP_c,-1,C16H29N2O8PRS
ivcoa_c,-4,C26H40N7O17P3S
k_c,1,K
k_e,1,K
kdo2laur_c,-6,
kdo2lipid4_c,-6,
kppACPredN_c,-1,C18H26N3O9PRS
lac__D_c,-1,C3H5O3
lac__D_e,-1,C3H5O3
lac__L_c,-1,C3H5O3
lac__L_e,-1,C3H5O3
lald__D_c,0,
lald__L_c,0,C3H6O2
lcts_c,0,C12H22O11
lcts_e,0,C12H22O11
leu__L_c,0,C6H13NO2
leu__L_e,0,C6H13NO2
leutrna_c,1,C6H12NOR
lgt__S_c,-1,
lipid_c,0,R
lipoamp_c,-1,C18H25N5O8PS2
lipoate_c,0,C8H14O2S2
lipoate_e,0,C8H14O2S2
lipopb_c,0,C8H12OS2
lpam_c,0,C8H15N1O1S2
lppg_c,-2,C13H17N5O13P2
lpro_c,0,C8H14N1OS2R
lps_c,0,R
lps_e,0,R
lycop_c,0,
lys__L_c,1,C6H15N2O2
lys__L_e,1,C6H15N2O2
lystrna_c,2,C6H14N2OR
lyx__D_c,0,C5H10O5
lyx__D_e,0,C5H10O5
lyx__L_c,0,C5H10O5
lyx__L_e,0,C5H10O5
lyxat__L_c,-1,
m_tol_c,-1,
malACP_c,-2,C14H22N2O10PRS
malACPact_c,-2,C14H22N2O10PRS
malACPcda_c,-2,C14H22N2O10PRS
malACPme_c,-1,C15H25N2O10PRS
malACPmmy_c,0,C3H4O3S1R1
malACPredN_c,-2,C14H22N2O10PRS
malACPredQ_c,-2,C14H22N2O10PRS
mal__L_c,-2,C4H4O5
mal__L_e,-2,C4H4O5
malcoa_c,-5,C24H33N7O19P3S
male_c,-2,C4H2O4
malmoACP_c,-2,C14H23N3O9PSR
malon_c,-2,C3H2O4
malpyr_c,-2,
malt6p_c,-2,C12H21O14P
malt_c,0,C12H22O11
malt_e,0,C12H22O11
malthp_c,0,C42H72O36
malthp_e,0,C42H72O36
malthx_c,0,C36H62O31
malthx_e,0,C36H62O31
maltpt_c,0,C30H52O26
maltpt_e,0,C30H52O26
malttr_c,0,C18H32O16
malttr_e,0,C18H32O16
maltttr_c,0,C24H42O21
maltttr_e,0,C24H42O21
malylcoa_c,-5,
man1p_c,-2,C6H11O9P
man6p_c,-2,C6H11O9P
man_c,0,C6H12O6
man_e,0,C6H12O6
mana_c,-1,
marsonate_c,-1,
mbc_c,0,C10H10N2O2
mbm_c,0,C10H12N2O2
meglu_c,-1,C6H10NO4
melib_c,0,C12H22O11
melib_e,0,C12H22O11
melt_c,0,C12H24O11
melt_e,0,C12H24O11
meoh_c,0,CH4O1
meoh_e,0,CH4O1
mercppyr_c,-1,C3H3O3S
met__L_c,0,C5H11NO2S
met__L_e,0,C5H11NO2S
metac_c,0,
metbute_c,0,
methf_c,-1,C20H20N7O6
methydan_c,0,
metsox_R__L_c,0,C5H11NO3S
metsox_S__L_c,0,C5H11NO3S
mettrna_c,1,C5H10NOSR
mg2_c,2,Mg
mg2_e,2,Mg
mh5odhfmdp_c,0,C13H21O7P
mh5othfmdp_c,0,C13H23O7P
mhpglu_c,0,C25H36N8O12
mi1p__D_c,-2,C6H11O9P
mi1p__L_c,-2,C6H11O9P
misc_c,0,R
mlthf_c,-2,C20H21N7O6
mmal_c,-2,C4H4O4
mmcoa__R_c,-5,C25H35N7O19P3S
mmcoa__S_c,-5,C25H35N7O19P3S
mmtsa_c,-1,C4H5O3
mmyA_c,0,C9H17O4
mmyA_e,0,C9H17O4
mmyB_c,0,C8H15O1
mmyB_e,0,C8H15O1
mmyC_c,0,C9H16O3
mmyint1_c,0,C5H10O5
mmyint2_c,0,C9H17O6
mn2_c,2,Mn
mn2_e,2,Mn
mnl1p_c,-2,C6H13O9P
mnl_c,0,C6H14O6
mnl_e,0,C6H14O6
moadamp_c,-1,C11H12N5O8P1X
moadcoo_c,-1,C1O2X
moadcosh_c,0,C1H1O1S1X
mobd_c,-2,MoO4
mobd_e,-2,MoO4
moco_c,-2,C10H10N5O8PS2Mo
mocogdp_c,-2,C20H22N10O15P2S2Mo
mompain_c,-1,
mparathion_c,0,
mphpv__R_c,0,
mphpv__S_c,0,
mppate_c,-1,
mppp9_c,-2,
mpt_c,-2,C10H10N5O6PS2Cu
mptamp_c,-2,C20H22N10O12P2S2Cu
mql9_c,0,C56H82O2
mqn9_c,0,C56H80O2
msa_c,-1,C3H3O3
mscoa__S_c,-5,C26H37N7O19P3S
msh_c,0,C17H30N2O12S
mssg_c,0,C34H58N4O24S2
mthgxl_c,0,
murein3px4p_c,-4,C71H107N13O38
murein4p3p_c,-4,C71H109N13O39
murein4p4p_c,-4,C74H114N14O40
murein4px4p4p_c,-6,C111H169N21O59
murein4px4p_c,-4,C74H112N14O39
murein4px4px4p_c,-6,C111H167N21O58
murein5p3p_c,-4,C74H114N14O40
murein5p4p_c,-4,C77H119N15O41
murein5p5p5p_c,-6,C120H186N24O63
murein5p5p_c,-4,C80H124N16O42
murein5px3p_c,-4,C74H112N14O39
murein5px4p_c,-4,C77H117N15O40
murein5px4px4p_c,-6,C114H172N22O59
myarso_c,0,
mycthigpyrpp_c,-2,
myrsACP_c,-1,C25H47N2O8PRS
n2o_c,0,N2O
n2o_e,0,N2O
n4abutn_c,0,
n6all26d_c,-1,
n6hxlys_c,0,
na15dap_c,3,C8H24N3
na1_c,1,Na
na1_e,1,Na
nac24dab_c,0,C6H12N2O3
nac_c,-1,C6H4NO2
nac_e,-1,C6H4NO2
nacitrul__L_c,-1,
nacpphin_c,-2,
nad_c,-1,C21H26N7O14P2
nadh_c,-2,C21H27N7O14P2
nadhx__R_c,-2,
nadhx__S_c,-2,
nadp_c,-3,C21H25N7O17P3
nadph_c,-4,C21H26N7O17P3
nadphx__R_c,-4,
nadphx__S_c,-4,
nal2a6o_c,-2,
ncam_c,0,C6H6N2O
ncrbmsar_c,-1,
neral_c,0,
neuspn_c,0,
nformanth_c,-1,C8H6NO3
nh4_c,1,H4N
nh4_e,1,H4N
ni2_c,2,Ni
ni2_e,2,Ni
nic1ox_c,0,
nico__S_c,1,
nicrns_c,0,C11H13N1O6
nicrnt_c,-2,C11H12NO9P
nisirhcl_c,-8,
nmn_c,-1,C11H14N2O8P
nmn_e,-1,C11H14N2O8P
nndmyani_c,0,
nndp_c,-3,C45H73O7P2
no2_c,-1,NO2
no2_e,-1,NO2
no3_c,-1,NO3
no3_e,-1,NO3
no_c,0,NO
no_e,0,NO
noeicoylACP_c,-2,C31H40N2O17PRS
nonACP_c,-1,C20H37N2O8PRS
nphtatt_c,0,
nsirhcda_c,-6,
o2_c,0,O2
o2_e,0,O2
o2s_c,-1,O2
o3n54ocyo_c,-2,
o54ocyo_c,-2,
oaa_c,-2,C4H2O5
oc2coa_c,-4,C29H44N7O17P3S
ocACP_c,-1,C19H35N2O8PRS
ocACPredQ_c,-1,C19H35N2O8PRS
occoa_c,-4,C29H46N7O17P3S
ocdcaACP_c,-1,C29H55N2O8PRS
ocdca_c,-1,C18H35O2
ocdcap_c,-1,C18H36O5P
ocdcea_c,-1,C18H33O2
ocdceap_c,-1,C18H34O5P
octa_c,-1,C8H15O2
octapb_c,1,C8H15O
octdp_c,-3,C40H65O7P2
octeACP_c,-1,C29H53N2O8PRS
od2coa_c,-4,C39H64N7O17P3S
odecoa_c,-4,C39H64N7O17P3S
ogmeACP_c,-1,C17H27N2O11PRS
oh1_c,-1,
ohpb_c,-3,C4H4O8P
ohrad_c,0,
omycin_c,0,C35H61NO12
omycin_e,0,C35H61NO12
op4en_c,-1,C5H5O3
opmeACP_c,-1,C19H31N2O11PRS
orn__D_c,1,
orn_c,1,C5H13N2O2
orn_e,1,C5H13N2O2
orot5p_c,-3,C10H10N2O11P
orot_c,-1,C5H3N2O4
orot_e,-1,C5H3N2O4
oxa_c,-2,C2O4
oxadpcoa_c,-5,C27H37N7O20P3S
oxalcoa_c,-5,C23H31N7O19P3S
oxformate_c,0,CH2O2
oxformate_e,0,CH2O2
oxptn_c,-1,C5H7O3
p_tol_c,-1,
pa120_c,-2,C27H51O8P1
pa140_c,-2,C31H59O8P1
pa141_c,-2,C31H55O8P1
pa150_c,-2,C33H63O8P1
pa160_c,-2,C35H67O8P1
pa161_c,-2,C35H63O8P1
pa170_c,-2,C37H71O8P1
pa180_c,-2,C39H75O8P1
pa181_c,-2,C39H71O8P1
paai150_c,-2,C33H63O8P1
paai170_c,-2,C37H71O8P1
pac_c,-1,C8H7O2
pac_e,-1,C8H7O2
pacald_c,0,C8H8O
pacald_e,0,C8H8O
pai140_c,-2,C31H59O8P1
pai150_c,-2,C33H63O8P1
pai160_c,-2,C35H67O8P1
pai170_c,-2,C37H71O8P1
pai180_c,-2,C39H75O8P1
palmACP_c,-1,C27H51N2O8PRS
pan4p_c,-2,C11H21N2O7PS
pant__R_c,-1,C6H11O4
paolac_c,-1,
pap_c,-4,C10H11N5O10P2
paps_c,-4,C10H11N5O13P2S
pchlld_c,-2,C35H30N4O5MG1
pcumald_c,0,
pcumat_c,-1,
pdx5p_c,-2,C8H10NO6P
pe120_c,0,C29H58N1O8P1
pe140_c,0,C33H66N1O8P1
pe141_c,0,C33H62N1O8P1
pe150_c,0,C35H70N1O8P1
pe160_c,0,C37H74N1O8P1
pe161_c,0,C37H70N1O8P1
pe170_c,0,C39H78N1O8P1
pe180_c,0,C41H82N1O8P1
pe181_c,0,C41H78N1O8P1
peai150_c,0,C35H70N1O8P1
peai170_c,0,C39H78N1O8P1
peamn_c,1,C8H12N
pei140_c,0,C33H66N1O8P1
pei150_c,0,C35H70N1O8P1
pei160_c,0,C37H74N1O8P1
pei170_c,0,C39H78N1O8P1
pei180_c,0,C41H82N1O8P1
pendp_c,-3,C25H41O7P2
peng_c,-1,C16H17N2O4S
pentlacF_c,-1,
pentlacd_c,-1,
pep_c,-3,C3H2O6P
pg120_c,-1,C30H58O10P1
pg140_c,-1,C34H66O10P1
pg141_c,-1,C34H62O10P1
pg150_c,-1,C36H70O10P1
pg160_c,-1,C38H74O10P1
pg161_c,-1,C38H70O10P1
pg170_c,-1,C40H78O10P1
pg180_c,-1,C42H82O10P1
pg181_c,-1,C42H78O10P1
pgai150_c,-1,C36H70O10P1
